date,f1,f2,f3,f4,f5
2013-10-21,1.5903211,1.823592,1.7585553,1.9634807,2.335681
2013-10-22,1.103404,1.795242,2.3852892,1.6019499,2.351709
2013-10-23,2.30656,0.9748372,1.192651,2.4546824,2.1998491
2013-10-24,1.8625772,1.5936947,2.267426,1.6138849,2.4043727
2013-10-25,2.256789,2.3543868,2.0772824,1.9664946,2.8082626
2013-10-28,2.5816283,2.2526784,2.2845368,1.0618242,2.8778038
2013-10-29,1.9307083,1.9310368,1.407895,2.0794291,2.2892725
2013-10-30,1.5882977,1.9329455,2.046594,1.6911854,2.0162182
2013-10-31,3.4668474,2.3363276,1.6068381,2.7134979,3.3143804
2013-11-01,2.1150796,1.8678384,1.8569595,2.5385199,3.2106614
2013-11-04,2.2911367,1.2631731,1.5983968,1.777245,2.3373785
2013-11-05,2.3347814,2.0697358,1.9563231,2.1956782,2.7888806
2013-11-06,1.7470306,1.4728552,1.6028068,1.2405475,2.103864
2013-11-07,2.633735,2.2064164,2.2606719,2.96856,2.811403
2013-11-08,2.6680532,2.4358068,1.4798423,2.4513412,2.1491942
2013-11-11,2.064166,1.7308947,1.2803221,1.7305715,1.8006401
2013-11-12,2.5082662,1.9974375,1.825042,2.642703,2.460703
2013-11-13,2.3186886,1.9335165,1.2853955,1.6076009,2.3566916
2013-11-14,2.0226834,1.4602023,2.104898,1.3468497,1.9995248
2013-11-15,2.7890136,2.432297,2.8178847,2.1575794,3.1730697
2013-11-18,3.0821545,2.2542381,1.8935483,2.448322,3.1444654
2013-11-19,1.62397,2.2584262,1.7187023,2.0212576,2.6048584
2013-11-20,3.0238523,2.332352,1.9489957,2.4435823,2.4303904
2013-11-21,2.5859392,2.4359095,1.7219495,2.3493528,1.5773193
2013-11-22,1.4694457,2.124355,1.162775,1.7277927,2.1226006
2013-11-25,1.918122,1.8795984,1.6473391,2.249777,2.2647777
2013-11-26,2.3868914,1.7989291,1.9328618,1.8767996,2.4011974
2013-11-27,2.640578,1.6652062,1.7212497,2.1261463,2.4370484
2013-11-29,1.5299475,1.9364635,2.2931566,2.1138551,1.9611454
2013-12-02,3.292665,2.6981375,1.5429125,2.4049304,3.1639197
2013-12-03,1.970455,1.8111496,1.2777789,1.5731142,1.977322
2013-12-04,0.5622513,1.7786196,2.0336664,1.3224595,1.8224839
2013-12-06,2.3050225,2.8536758,1.4662874,2.2266,3.1623232
2013-12-09,1.3745263,2.1499677,1.9578348,2.3753169,2.355991
2013-12-10,1.7815037,1.6927533,2.9113657,1.773134,2.0792425
2013-12-11,1.6682819,2.4002898,1.6633407,2.2019567,2.2684326
2013-12-12,3.91896,3.0039077,2.3849502,2.969234,4.066044
2013-12-13,2.3828068,2.223734,2.8578289,2.2896976,2.9024916
2013-12-16,2.533028,2.1914158,2.5658722,2.3981419,1.4824433
2013-12-18,2.147471,2.1710413,1.5488112,1.6244371,3.107699
2013-12-19,3.3332157,2.8876886,1.1824914,2.8290248,2.6327605
2013-12-20,1.725358,2.242415,2.2599192,1.9661655,1.7106555
2013-12-23,2.4054294,1.8560959,1.9038231,1.9988142,2.7353337
2013-12-24,1.5585113,1.9733897,1.7878016,1.6015787,2.2245421
2013-12-27,1.8909451,2.316278,3.0966296,1.7556434,2.2406278
2013-12-30,2.7235281,2.2222412,1.7860849,2.380598,3.2672405
2013-12-31,1.928066,1.2026553,1.2054348,1.4780786,2.219519
2014-01-02,1.3257716,1.0733285,2.8276865,1.8701664,2.740197
2014-01-03,1.789078,0.4523393,1.6619772,2.1021504,1.5218346
