date,fx_dxy,fx_bbdxy,fx_eurusd,fx_usdcnh,fx_audusd,fx_usdbrl,fx_usdclp,fx_usdcad,fx_usdnok,fx_usdzar,ust_10y,ust_5y,ust_2y,tips_10y,tips_5y,be_10y,be_5y,inflsw_5y,inflsw_10y,cny_10y,hy_oas,ig_oas,vix,move,ovx,gvz,spx,mxwo,mxef,csi300,shcomp,hscei,xle,bdiy,bdti,gpr,epu
2013-10-18,79.654,1002.73,1.3687,6.0893,0.9677,2.1691,496.79,1.0286,5.9,9.7884,2.5777,1.3307,0.3106,0.397,-0.642,2.1819,1.8399,2.1795,2.52,4.11,4.29,1.32,13.04,72.4643,20.12,21.43,1744.5,1598.14,1042.06,2426.05,2193.781,10644.04,43.47,1901,621,,199.23
2013-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.96
2013-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.96
2013-10-21,79.695,1004.55,1.3681,6.0887,0.9653,2.1751,502.05,1.0304,5.9212,9.8429,2.6014,1.3503,0.3106,0.407,-0.63,2.1953,1.8434,2.187,2.529,4.13,4.23,1.32,13.16,71.4668,20.91,21.52,1744.66,1599.73,1042.66,2471.32,2229.238,10668.2,43.275,1878,621,,10.92
2013-10-22,79.23,999.46,1.3781,6.0837,0.9708,2.1724,499.53,1.0286,5.8988,9.7374,2.5124,1.2799,0.2905,0.338,-0.672,2.1742,1.8196,2.17,2.5084,4.14,4.27,1.31,13.33,63.0545,21.62,20.75,1754.67,1610.79,1044.66,2445.89,2210.652,10653.43,43.515,1847,617,,101.82
2013-10-23,79.264,1001,1.3776,6.0849,0.9623,2.1906,502.95,1.0382,5.9196,9.7934,2.5016,1.2848,0.3068,0.346,-0.639,2.1565,1.7957,2.14,2.4891,4.16,4.27,1.32,13.42,62.0475,23.28,20.52,1746.38,1601.64,1033.47,2418.49,2183.107,10457.32,42.8345,1786,614,,172.74
2013-10-24,79.185,1000.57,1.3801,6.0769,0.9623,2.2035,503.64,1.0422,5.8923,9.7557,2.5197,1.3011,0.3028,0.343,-0.651,2.1779,1.8209,2.165,2.508,4.18,4.22,1.32,13.2,63.1394,21.88,20.67,1752.07,1607.92,1030.82,2400.51,2164.322,10322.12,43.04,1708,596,,85.92
2013-10-25,79.194,1000.67,1.3802,6.0749,0.9584,2.1878,505.7,1.0448,5.8931,9.827,2.5088,1.2813,0.2989,0.32,-0.678,2.1899,1.8295,2.1753,2.5269,,4.25,1.32,13.09,61.14,20.28,19.9,1759.77,1607.96,1027.27,2368.56,2132.955,10177.82,43.3,1671,600,,125.94
2013-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.55
2013-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.56
