series,n,zero_change_frac,repeat_frac,ac1
ig_oas,3074,0.3711776187378009,0.2781392322706571,0.47806294344855543
cny_10y,3074,0.180871828236825,0.10897852960312297,0.06550513926687507
hy_oas,3074,0.09791802212101497,0.054001301236174366,0.21876753685244235
shcomp,3074,0.07254391672088484,0.04521795705920625,0.024298331728608544
csi300,3074,0.07254391672088484,0.04521795705920625,0.01285970971830174
bdti,3074,0.06766428106701367,0.00878334417696812,0.5615914639965958
hscei,3074,0.053350683148991544,0.012687052700065062,0.014498893654368187
tips_10y,3074,0.0468445022771633,0.00878334417696812,0.01659915135043992
ust_2y,3074,0.04651919323357189,0.01073519843851659,-0.033469554938076726
tips_5y,3074,0.04586857514638907,0.007807417046193884,0.03347287741317964
ust_5y,3074,0.04521795705920625,0.0013012361743656475,-0.033456471856851154
ust_10y,3074,0.04261548471047495,0.0035783994795055302,-0.03301592485838012
bdiy,3074,0.04098893949251789,0.005530253741054001,0.6123967958989314
fx_usdbrl,3074,0.04098893949251789,0.004879635653871178,-0.05211601881648586
move,3074,0.04033832140533507,0.0013012361743656475,-0.005138722411845815
gvz,3074,0.03871177618737801,0.006180871828236825,-0.019336099659187013
ovx,3074,0.03773584905660377,0.0029277813923227064,0.043254025950319124
fx_usdclp,3074,0.03708523096942095,0.006506180871828237,0.019660475153975673
xle,3074,0.03610930383864672,0.0006506180871828237,-0.02543646605732762
spx,3074,0.03188028627195836,0.0,-0.12694923509888573
inflsw_10y,3074,0.02992843201040989,0.006180871828236825,0.005488839556826161
be_5y,3074,0.02960312296681848,0.0013012361743656475,0.11823613329804422
be_10y,3074,0.028952504879635653,0.0016265452179570592,0.09858348121199602
inflsw_5y,3074,0.02830188679245283,0.0029277813923227064,0.10698204024571421
vix,3074,0.026350032530904358,0.0032530904359141183,-0.15618216277740074
fx_dxy,3074,0.020494469746258945,0.0,0.011417600044911746
fx_audusd,3074,0.013337670787247886,0.0,-0.012177970413731533
fx_usdcad,3074,0.008458035133376708,0.0,-0.01346338430546852
fx_eurusd,3074,0.008458035133376708,0.0,-0.004026194102802337
fx_bbdxy,3074,0.005530253741054001,0.0,0.026411526775189136
fx_usdcnh,3074,0.004879635653871178,0.0,-0.02111590966978189
fx_usdzar,3074,0.0016265452179570592,0.0,0.000621800254352899
fx_usdnok,3074,0.0013012361743656475,0.0,-0.0012416022114517737
mxef,3074,0.0009759271307742355,0.0,0.11646360880939487
mxwo,3074,0.0006506180871828237,0.0,0.021555455890915683
gpr,3074,0.0,0.12394274560832791,0.7077019422378427
epu,3074,0.0,0.0,0.7717312654395825
