series,corr_spx_t-3,corr_spx_t-2,corr_spx_t-1,corr_spx_t+0,corr_spx_t+1,corr_spx_t+2,corr_spx_t+3,peak_offset,peak_corr
ig_oas,-0.082459608806889,-0.13047856880243633,-0.18943463026983606,-0.4776758457548643,-0.0380980538212266,-0.06839294033598915,0.013427277291060063,0,-0.4776758457548643
hy_oas,-0.0467149080540389,-0.12297130754330807,-0.19105650947756417,-0.5839477683167386,0.022194276883537346,-0.05443947618655906,0.007846103573443739,0,-0.5839477683167386
bdiy,0.03434210677925649,-0.003379247408331247,-0.01577722403587989,-0.024660391572684816,-0.01722430072646514,0.011898973536356348,-0.003927282352345382,-3,0.03434210677925649
bdti,-0.012760962339724645,-0.02493382365520943,0.005098580720026273,0.0035003821936551507,-0.045575930369833276,-0.03692518577726874,-0.08859623246592603,3,-0.08859623246592603
gpr,-0.026413157416401455,-0.024993163024955817,-0.031189332148849277,0.016182904687073268,-0.004558154431002748,0.013126561785305158,-0.013600284174232896,-1,-0.031189332148849277
epu,0.03286857104517253,0.03123240173533431,0.016031394752034755,0.04367257604606063,0.04579743271374056,0.059799048593501346,0.03435105421017848,2,0.059799048593501346
vix,0.0016348668091569507,-0.017375679094637532,0.1711463743131122,-0.8026411421118983,0.13997916141180303,-0.10784612984695016,-0.011812677097257425,0,-0.8026411421118983
move,0.010649046310070562,0.025665383356210627,-0.0703463600279805,-0.3130406189758766,0.05164174567905494,-0.03431009774816285,-0.03894915431382408,0,-0.3130406189758766
csi300,0.04520371290110679,0.01984372185472647,0.14917792289718504,0.1496774431681339,0.0014593886668913235,-0.0064416488272406106,-0.011966173843011983,0,0.1496774431681339
shcomp,0.04275855690867443,0.02367173286946115,0.15254140239024638,0.14260519307675534,-0.003341087723334031,-0.011959596789460538,-0.0128896624412114,-1,0.15254140239024638
