series,n_reject_h1,mean_abs_t_h1
fx_audusd,13,2.2453737148174895
fx_usdcnh,11,1.8453801082764592
tips_5y,8,1.6255247097306094
fx_usdbrl,8,1.8061975131214285
tips_10y,8,1.4517919398272232
vix,7,1.5130529486096793
fx_eurusd,7,1.261482589103905
xle,7,1.295282690130787
fx_usdnok,7,1.708358194795609
fx_bbdxy,7,1.6778488427662717
ovx,6,1.2605862287516594
mxwo,6,1.2921353788935626
be_5y,6,1.3108598532266034
be_10y,6,1.187880682262956
ust_5y,6,1.282411588837098
fx_usdzar,6,1.2369396172940925
fx_usdcad,6,1.677588968320057
move,5,0.9370745803970312
ust_10y,5,1.1667100503305095
spx,5,1.3441984540401823
ig_oas,5,1.1887938891161132
epu,5,1.4205231691529447
mxef,4,1.2315029370695614
inflsw_10y,4,1.04943916505285
inflsw_5y,4,1.0557014828369953
ust_2y,4,1.2051007181611764
fx_usdclp,4,1.3189317434897745
fx_dxy,3,1.1349516122704846
hy_oas,2,0.8730172384173097
bdiy,2,1.2071261323039442
gvz,1,0.7761649583362888
hscei,1,0.8983502623728072
gpr,1,0.6977808717054428
cny_10y,0,0.6187047852364449
csi300,0,0.8550180612794488
shcomp,0,0.8202764665144675
bdti,0,0.621179847575652
