,Coffee,SoybeanOil,Corn,Cotton,HRWWheat,LeanHogs,LiveCattle,Soybeans,Sugar,Brent,NaturalGas,WTI,Gasoline,HeatingOil,Gold,Silver,Copper,Aluminium,Nickel,Zinc,Platinum
fx_dxy,0.06667456790852866,0.28259413514983706,-1.587462028982774,-0.11969397590483041,-0.8970769772075637,-1.882744173307552,0.6932812923865619,0.01527204412727335,-0.7216998823226698,0.8119205096436805,-1.2958990176039793,0.27564895437237336,-0.4392943250261759,0.41351616336315966,-1.9339167726410043,-1.7270933914098254,-1.510378220217858,-3.56156399982006,-0.5332393397999879,-3.0907893849307797,-1.9742247015537062
fx_bbdxy,0.474079195821035,-0.06163939363231484,-1.649511099040222,-1.0551731291025042,-1.3904419142212607,-1.6871007286692887,0.7679731587257681,-0.4144180376954941,-2.1139301777875024,-0.008484813217269311,-0.9250052433680702,-0.4712792980415524,-0.9130305260625479,-0.0051515457544684265,-3.509003233991032,-3.5700346780842724,-2.024888299340282,-4.48785630661602,-1.6595366827222091,-4.366291357797528,-3.679996878401055
fx_eurusd,-0.13480828419700358,-0.11810187245667914,0.9939150877256383,0.3158871859232198,0.42413255434382097,2.335961349091051,-0.8083508877302161,0.00827141999915256,0.13284278480898712,-1.122939887555261,1.5170164006511968,-0.4097594923216867,0.12029966169980223,-0.5903680269411923,2.8537389739040098,2.4947224854063084,1.9654059756776285,3.7207187675774556,0.5690513991469965,3.179983333478841,2.6748585405458547
fx_usdcnh,-0.41465348811157826,-2.524268896127856,-1.967666457793655,-1.5140510974566945,-2.0186855456652917,-2.1194705835544245,0.3933529633408778,-2.33301197603886,-2.1358277997234176,-1.5285545335542756,-1.0459753893563015,-1.7703710168057483,-1.2195542686301022,-1.1571736703792599,-1.4550817384734451,-2.4728386770574944,-2.258238594307264,-3.1470985770704627,-1.9307085481054787,-2.8982968497022457,-2.4481016025509
fx_audusd,1.2219804092006676,2.4326811121985843,2.7145462086171466,2.3145282613726397,3.2950137405718487,1.7150895786740803,1.1645386853036195,2.196352414589988,4.097150438639031,0.12364575829691322,0.6861104352397668,0.44157248471871463,0.5088768705217681,0.21478087994043246,3.1736440194409834,3.4979213368811006,2.6745452128179,3.841297633429492,2.9027583966759836,4.016981929545152,3.9188322044914656
fx_usdbrl,-2.616102259095524,-0.9251764167047538,-0.8841805839013824,-2.2518607300395606,-1.077382942224129,-1.5216030435676642,-1.0594893789229916,-1.0532607725516439,-4.402172221402298,-1.2367261760727855,0.3226974599938834,-0.7469320634321953,-0.6510624826032153,-0.0874219254863338,-3.1989750312995517,-2.9543414191104747,-1.2807101217168646,-3.5718492350737483,-1.666712351136652,-2.315827651079207,-4.105663510135144
fx_usdclp,0.8766239195644774,-2.0830066224614705,-1.0899424361111236,-1.3530270973910186,-1.6854654702739365,-1.3286386068271088,-0.6574495631132271,-0.42134301913214706,-2.2926059329928283,-1.1504657359298196,0.041906240082156654,-1.2411449409374313,-0.43867316932998374,-1.2092178669793636,-1.5161296384169796,-1.0374470138907774,-1.1403359731983744,-3.900237319577252,-1.0988033504705335,-2.0939190787809587,-1.041183617824296
fx_usdcad,-0.5519112582509184,-1.083653623113693,-1.2813055271394709,-0.860638191923692,-1.3878349803861398,-1.4535842659822376,0.614909071809529,-1.160467896728973,-2.6923170360618314,-0.5857933726482093,-0.9031359533853192,-0.40374350496931405,1.3128211287558298,0.1877691739738281,-3.442334347488089,-3.2202566307941396,-1.9045842600055065,-3.883092996164771,-0.9282458171171348,-3.3795932018634156,-3.991376096159163
fx_usdnok,0.3045636307172122,-1.2047283271771903,-0.9202001092333147,-0.9035324645687431,-0.4041088958091575,-1.435771824930656,1.0002380889714584,-0.41468197710217736,-2.4822274630913337,0.07855776317828413,-1.0428836347673995,0.4605201194642643,-1.1876270748399984,-0.1913035507218383,-2.5141331431948464,-3.0555459183325744,-3.147572340508011,-4.453880776694173,-1.8123715299002132,-4.711447794598544,-4.149625662906401
fx_usdzar,0.029458320245517863,0.6288069220412706,-0.460622022782097,-0.9732732412071609,-0.5073263168267315,-0.513455625057261,-0.27616801720162987,-0.22910225993285882,-2.1679091494388105,-0.284518562222445,-0.42887771047801454,-0.10413845721603138,-0.05319561277593141,-0.40506729101870703,-2.29519982873225,-3.1090684492579763,-1.4443704605668963,-3.6688231982069004,-1.583647480726867,-2.91716195388007,-3.8955410833605177
ust_10y,-1.6402607052468547,1.218323561047272,-0.1553022328571585,0.9285556626045363,0.1448604745435107,0.5761945535845543,-0.39674859312175115,-0.39904871775952455,1.090930691882576,0.46282284864301987,0.09531724364182984,0.004212312240475883,0.3756207128397555,1.2352507006520064,-2.7545698996477608,-2.3891198620592946,-0.8602189362797155,-2.900887133541938,-2.8943641311808723,-1.9544183832554036,-2.0238837003108867
ust_5y,-1.8105152372000703,1.1364595765907601,-0.7752018288770561,0.8826667595572432,0.16146175150281042,-0.13449206681223003,-0.7197706328425805,-0.42269088484583717,1.0364685712888364,0.47889261462041427,0.2850347677979346,0.019715792395603178,0.45939144919566255,1.0573472982868006,-3.2589980215179315,-2.8790517407447815,-1.0585271035297472,-3.0306775351483575,-2.9049411617558487,-2.048580365255633,-2.369758205812921
ust_2y,-1.852406538970247,1.334477846457822,-1.1183418283319888,0.7223892443688749,0.5932615721212883,-0.419173333321967,-0.32804615652090335,0.044141736660413364,0.891457375384919,0.8252487044539428,0.1263178493495804,0.5465084399150776,0.5492519064441042,1.3563978977131674,-2.800450651401271,-2.341652370393342,-0.8333074393102229,-2.6151848174455727,-2.8155036709390813,-1.4444941417346298,-1.7491015601462903
tips_10y,-2.0673004465632725,0.7231053097932053,-0.15794430649158267,-0.7173755466109448,0.45973846970628746,0.02931332133330241,-0.5606349561488164,-0.2461241540169755,-0.4657738704726537,0.25808880700625225,0.06840698262031156,-0.0005612845723395231,0.4794490194549686,1.3746802723567868,-4.250581674067011,-3.995530578205509,-2.1023056085194365,-2.7484835920289847,-3.6134981152342975,-2.935268626427234,-3.233465794741518
tips_5y,-2.3742616743425033,0.6578381719413887,-0.34714818801311853,-0.7777567531777582,0.6192790279838561,-1.308844513266308,-0.7680802810922602,0.015277509861038378,-0.9387337373449045,-0.24352202650575108,0.33909713316599177,-0.2660900450667272,0.10881704616579986,1.360117574362691,-4.823803805644703,-4.434517039151192,-2.2093602150666305,-2.8081067752474644,-3.186292062145697,-2.9787191532775594,-3.570356171519456
be_10y,0.3841012992764087,0.9076167185931638,-0.05595447320590672,3.270963185834933,-0.5083000080802629,1.0166743987314388,0.34384486177452295,-0.3571812994645724,3.0765445863469503,0.2836872612296568,-0.039172744013087006,-0.0800240063713991,-0.42665021674268433,-0.38339747997455353,3.2159022615015282,3.1880831122449425,2.2833289490354796,0.24756123430275828,0.9611328836942254,1.814353404240367,2.1010199428632332
be_5y,0.6979808277925359,0.8636481229223263,-0.46972989802668214,2.9031547870878005,-0.6093815779229105,1.4373686710712228,0.24464567386538474,-0.48069709141854244,3.08287692677592,0.8816777005803045,-0.11691672274196764,0.4482341026727899,0.49160144911024417,-0.6178200069408116,3.3212994517750425,3.3910558303300373,2.301628780225685,0.5729507562771364,0.3709483795789832,1.9480028924981574,2.276437268144185
inflsw_5y,0.7445484030243799,1.016256046820628,-0.07717477612490027,2.861595248751468,-0.4009885012961242,1.2828141820418912,0.027606417537847615,-0.6155481966535995,2.7161817519541795,0.8511699336644153,0.057058804773950984,0.5362497474067235,0.25147807953063184,-0.36278916759935714,2.510087070401887,2.8218647592923745,1.835281574348996,-0.1648773593634825,0.1475410512570943,1.1604282730359992,1.7281917946969638
inflsw_10y,0.6281251126042221,0.5078907424613994,0.11775848730914883,2.4136655499444992,-0.3200284473159224,0.3300898050449179,-0.29670309337102,-0.5284454610929287,2.1447785689373746,-1.075521030325399,-0.24693100145451097,-1.3369331593970006,-1.4051916515658962,-1.2638515198703622,3.0960197626348114,2.6562142609114106,1.3426267218152266,-0.2715272775791321,-0.05173215686580813,0.8447462286114632,1.159442426997403
