commodity,settle_et,after_settle_hours,mean_abs_t_after_predictors
Zinc,12.0,5.0,2.793348719413572
Nickel,12.0,5.0,1.27376469739126
Aluminium,12.0,5.0,2.630587670472344
Sugar,13.0,4.0,1.9551146608761028
Copper,13.0,4.0,1.6951105505545048
Platinum,13.08,3.92,2.439808513467516
Silver,13.42,3.58,2.5829504387316713
Gold,13.5,3.5,2.3482081152881307
Coffee,13.5,3.5,0.9530463066844872
LiveCattle,14.08,2.92,0.663142760943159
LeanHogs,14.08,2.92,0.9574627693064454
SoybeanOil,14.33,2.67,1.0332028685692825
Soybeans,14.33,2.67,0.5972021228959684
HRWWheat,14.33,2.67,0.8837237747620542
Cotton,14.33,2.67,1.299155410672168
Corn,14.33,2.67,0.8373291386539087
Brent,14.5,2.5,0.6734821025462021
WTI,14.5,2.5,0.5384097833759453
Gasoline,14.5,2.5,0.8153761039246097
HeatingOil,14.5,2.5,0.59758969348467
NaturalGas,14.5,2.5,0.6150963668309588
