commodity,settle_et,after_settle_hours,cw_stat,cw_p
Zinc,12.0,5.0,3.018556916143505,0.001269908444464618
Aluminium,12.0,5.0,3.015722827423454,0.0012818374562834078
LeanHogs,14.08,2.92,2.4976987566153532,0.006250118429647622
Gold,13.5,3.5,2.422435741173973,0.007708426042433603
Sugar,13.0,4.0,1.6760434501025243,0.04686484106931521
Silver,13.42,3.58,1.674421108858071,0.047023933549151686
Platinum,13.08,3.92,1.0868610293317713,0.1385491156778217
Brent,14.5,2.5,0.9637718190131248,0.16758016915182883
HeatingOil,14.5,2.5,0.8877538923131237,0.18733657482557475
SoybeanOil,14.33,2.67,0.7572176221906244,0.2244597471608918
HRWWheat,14.33,2.67,0.6897793313298941,0.2451664841719543
WTI,14.5,2.5,0.5746390795680646,0.28276770819306096
Nickel,12.0,5.0,0.414388789261292,0.3392946989179846
Soybeans,14.33,2.67,0.3043664717779156,0.38042435422427534
LiveCattle,14.08,2.92,0.29295694562671876,0.3847775304792209
Copper,13.0,4.0,0.2863313858858451,0.38731216075166996
Corn,14.33,2.67,-0.10570715532031169,0.5420926484808113
Gasoline,14.5,2.5,-0.23707354539008993,0.5937001324420739
Cotton,14.33,2.67,-0.3653359601831086,0.6425696807839125
Coffee,13.5,3.5,-0.5124471568361516,0.6958309527093189
NaturalGas,14.5,2.5,-1.8613688437368965,0.9686539463679267
