draw,max_principal_angle_deg,boundary,boundary_matches
0,8.485890055229401,1,True
1,10.76208325079996,1,True
2,6.284202112762453,1,True
3,3.910652116195867,2,False
4,4.291864770624176,1,True
5,9.618572166333143,1,True
6,5.078841950083746,1,True
7,17.60168616439667,1,True
8,7.278926366057285,1,True
9,15.234085637981531,1,True
10,3.876765255901595,1,True
11,10.791709666148467,2,False
12,5.075523397151973,1,True
13,2.2296482448688564,1,True
14,5.849974908082093,1,True
15,4.094256711539731,2,False
16,3.059142716156179,1,True
17,12.635875564382326,1,True
18,6.290292109183395,1,True
19,3.018523901891964,1,True
20,6.167459969104037,1,True
21,7.756632905729614,1,True
22,6.007603099095779,1,True
23,3.9260207919712418,2,False
24,4.498683435210268,1,True
25,5.469840996339235,2,False
26,3.498990524581956,1,True
27,5.032440655689685,1,True
28,5.041901280775605,1,True
29,3.2799034095574777,1,True
30,5.873707791151855,1,True
31,9.668918896822314,2,False
32,2.4072748426664496,1,True
33,3.549690063875753,1,True
34,8.36873136852827,1,True
35,5.242725846107371,2,False
36,3.769292919545592,1,True
37,3.1588133485272203,1,True
38,3.0471376437681648,1,True
39,1.1685347132949682,1,True
40,5.465307467644028,2,False
41,4.704918458346138,1,True
42,3.3616304820290335,1,True
43,6.213786040419728,2,False
44,4.643842550697957,1,True
45,12.791575568194821,1,True
46,2.788543062540176,1,True
47,1.6128720774216394,1,True
48,9.805076662086904,3,False
49,4.166815673161323,1,True
50,8.210167422132297,2,False
51,8.072289115425052,1,True
52,7.599043808887986,1,True
53,1.1472326222546607,2,False
54,5.847196900736748,1,True
55,5.145895969227707,1,True
56,2.404414837643981,1,True
57,7.3308344634299205,1,True
58,4.658853783068817,1,True
59,6.489708414665442,1,True
60,2.654812573083675,1,True
61,7.374615614254256,1,True
62,10.243336141681565,1,True
63,8.61649750722368,1,True
64,5.845605934450554,1,True
65,5.833621762245445,1,True
66,4.802872926720386,1,True
67,5.0673812472780995,1,True
68,6.690665409183534,1,True
69,5.46786168567852,1,True
70,6.680670406046624,3,False
71,3.3536097844116957,1,True
72,6.923413447599696,1,True
73,8.185197194522683,1,True
74,11.008858350317219,1,True
75,3.823276906965401,2,False
76,4.814247398526038,1,True
77,11.271472937635167,1,True
78,11.002116254247298,1,True
79,4.257475247491538,1,True
80,4.822183928833492,1,True
81,8.677810550730571,1,True
82,9.189102633957312,1,True
83,3.9220479229643557,2,False
84,5.337989818272855,1,True
85,6.449015550689015,1,True
86,12.712824396349568,1,True
87,8.141540386666726,1,True
88,5.621974953221237,1,True
89,7.984704779690041,1,True
90,2.538698902650078,1,True
91,3.657958014875108,2,False
92,2.984603950801938,2,False
93,8.315954677536562,1,True
94,7.663284730488661,1,True
95,2.1210195966454193,1,True
96,8.496626795480656,1,True
97,2.7477053144764576,1,True
98,6.072744844135056,1,True
99,21.976206618054302,1,True
100,6.45260617148989,1,True
101,4.389727241385442,1,True
102,5.112879697501182,1,True
103,7.5519043885736785,1,True
104,5.924751165925657,1,True
105,8.304649286198156,1,True
106,5.730549216074998,1,True
107,5.499402081006778,1,True
108,5.410823344369278,1,True
109,3.2207884533627347,1,True
110,2.5107978605048364,1,True
111,14.935734284377316,1,True
112,4.463710982581504,1,True
113,6.931514681184936,3,False
114,10.406948731040286,1,True
115,7.874284432669838,1,True
116,9.138173568940585,1,True
117,9.229470951998511,1,True
118,14.863980717142317,1,True
119,10.707567237252375,3,False
120,1.5512378897010672,2,False
121,1.245194881598501,1,True
122,7.878464720546241,1,True
123,2.0353881885690517,1,True
124,8.735366016157965,1,True
125,4.517923221142278,1,True
126,3.2581779146107426,2,False
127,4.800280147477808,1,True
128,4.283562803215374,1,True
129,6.87924538775156,1,True
130,9.954342055370144,1,True
131,9.855727822928861,2,False
132,7.158048305545818,1,True
133,7.344894894207305,1,True
134,6.790046842447471,1,True
135,6.45616808722995,1,True
136,4.585109325941144,1,True
137,8.891674145772958,1,True
138,3.0468377728667444,1,True
139,6.397117863847677,2,False
140,7.22819492857923,1,True
141,5.695387912604595,1,True
142,6.540675017905443,1,True
143,5.317530809168205,1,True
144,3.0723493594386455,1,True
145,7.613928629361455,2,False
146,10.918241616955083,1,True
147,6.43038410717429,1,True
148,4.215213777633376,1,True
149,2.8397085467133487,1,True
150,1.8727918557055825,1,True
151,3.6526059090822622,1,True
152,3.5456664707729906,1,True
153,4.397697480387925,1,True
154,6.655596512328984,1,True
155,3.6766593546491886,1,True
156,1.3838321443301083,2,False
157,3.2941659238064527,1,True
158,6.117385431860286,2,False
159,5.299093475086758,1,True
160,2.5511269385933804,2,False
161,2.244668058188177,1,True
162,4.55841492593747,1,True
163,5.120158072787118,1,True
164,5.53252727468458,1,True
165,5.16176146421573,2,False
166,11.784864513385717,1,True
167,4.072219827019274,1,True
168,5.223237262626831,2,False
169,4.783355819513285,2,False
170,6.757782087898269,2,False
171,11.056690318282897,1,True
172,26.971345977607793,2,False
173,7.450609794889027,1,True
174,2.9509238750830376,1,True
175,4.52910608242289,1,True
176,9.61027225163109,1,True
177,4.388745031735997,1,True
178,12.395321723519283,1,True
179,6.040925910227333,2,False
180,8.321045416295105,1,True
181,5.642294301125944,1,True
182,7.840791802529599,1,True
183,8.86760244656228,1,True
184,5.3243981476010145,1,True
185,9.65635449653656,2,False
186,8.718670792310562,1,True
187,3.7289943317068572,1,True
188,3.802068601322678,2,False
189,1.9470170886865523,1,True
190,5.587459602402216,2,False
191,4.537394365143732,1,True
192,4.962396539997558,1,True
193,2.3578928399530183,1,True
194,5.994195628707272,1,True
195,6.892995880136736,1,True
196,4.785034156420435,1,True
197,5.2922029937228405,1,True
198,6.247542291332535,1,True
199,10.855396948916136,2,False
