horizon,dim,spanned,phi_std,phi_pct_of_ar1_mse,boot_lo,boot_hi
1,cv1,True,-2.0382277511885645e-07,-0.05079930683077289,-7.20332302366005e-07,2.5432649730019893e-07
1,cv2,False,-4.789371301561164e-07,-0.11936680880369162,-8.124849163164001e-07,-2.1724454014453184e-07
1,cv3,False,-1.694771435132292e-07,-0.04223925127656148,-8.61438579368681e-07,5.356380430628557e-07
1,cv4,False,2.0563968591099823e-07,0.05125214046901734,-4.835586065649722e-07,1.012810108543542e-06
1,cv5,False,-5.977124223602064e-07,-0.14896949922468017,-1.429887785631308e-06,-4.855503675812153e-08
5,cv1,True,-1.8456984168486213e-06,-0.09563967292728147,-3.1388581834205863e-06,-5.807595728107094e-07
5,cv2,False,-1.7060636645772038e-06,-0.08840413438284134,-3.2753969029365952e-06,-3.2580102438715703e-07
5,cv3,False,-2.203856528814613e-06,-0.11419856877504743,-3.931544644611283e-06,-7.238335739316768e-07
5,cv4,False,-1.995183319913675e-06,-0.1033856227022824,-3.0423531571698433e-06,-1.0059001470097589e-06
5,cv5,False,-1.5359324387048563e-06,-0.07958834159209349,-3.1852534400445924e-06,-1.8484729536152488e-07
21,cv1,True,-8.549306913923426e-06,-0.11952227585726842,-1.8857445980468612e-05,1.1753305019200444e-06
21,cv2,False,-6.679364122894758e-06,-0.09337982707669576,-1.2177004993153442e-05,-2.4748737764895016e-06
21,cv3,False,-1.890893465339149e-06,-0.026435346473864606,-5.46095120213508e-06,1.6027101365888936e-06
21,cv4,False,-5.8051463420391705e-06,-0.08115795929083112,-9.254211249106854e-06,-2.321057429489582e-06
21,cv5,False,-1.2451818866511764e-06,-0.017408074648298775,-7.728912025277138e-06,4.457704496245687e-06
