dropped,cw_stat,cw_p
Zinc,-0.8424228848056509,0.8002243561010307
NaturalGas,-0.8255316457421078,0.7954650879984269
Soybeans,-0.744129934875814,0.7716010645689593
Copper,-0.7307660757849079,0.7675389759785077
Platinum,-0.7297553610637353,0.7672301326586606
Nickel,-0.729657012399671,0.7672000681648337
Sugar,-0.7214371387023749,0.764679698211125
LeanHogs,-0.7138240924525913,0.7623320200276105
Gasoline,-0.6833242427411422,0.752799010679476
Aluminium,-0.6736508507003117,0.7497333419903625
WTI,-0.6683157405594029,0.7480339661128627
Coffee,-0.6635069726074097,0.7464970423356552
SoybeanOil,-0.6629366139699131,0.7463144245734612
LiveCattle,-0.6620410915199648,0.7460275563384253
Cotton,-0.6571226933453507,0.7444489858802599
Silver,-0.6570035070605753,0.7444106692813179
Corn,-0.6496274032462265,0.7420335361707149
HeatingOil,-0.6477817936605821,0.7414369537193781
Brent,-0.596883409580391,0.7247073877262815
Gold,-0.5770981714752722,0.7180634302497474
HRWWheat,-0.5752374853896667,0.7174346528811254
