horizon,arm,substituted_dims,v_full_std,retained_share_vs_none,cw_p,n_origins
1,none,-,-2.1410194870464085e-06,1.0,0.7175758679654494,1081
1,only_cv1,1,-1.3770595205044077e-06,0.6431793492940584,0.3557733385352142,1081
1,only_cv2,2,-1.8733256800389816e-06,0.8749690002230118,0.6170525870706633,1081
1,only_cv3,3,-2.0016197345707463e-06,0.9348909464303999,0.47872943463296314,1081
1,only_cv4,4,-1.827732519777618e-06,0.8536739300299513,0.5313788987897832,1081
1,only_cv5,5,-1.9882581310247697e-06,0.9286501795308846,0.6721342517521263,1081
1,spanned_block,1,-1.3770595205044077e-06,0.6431793492940584,0.3557733385352142,1081
1,weak_block,2.3.4.5,-1.1190644981560571e-06,0.5226783338155578,0.08360098463817156,1081
1,all,1.2.3.4.5,-6.077851562987175e-07,0.28387651769446187,0.016084733813097052,1081
5,none,-,-1.013024419628094e-05,1.0,0.791966258590792,1081
5,only_cv1,1,-9.736983140959908e-06,0.9611795088349986,0.6998535129016322,1081
5,only_cv2,2,-1.1692199664653513e-05,1.1541873461397905,0.6006239666935393,1081
5,only_cv3,3,-9.922430693524997e-06,0.9794858348200297,0.5725815122127198,1081
5,only_cv4,4,-8.963796723804839e-06,0.8848549501990947,0.7002438954643071,1081
5,only_cv5,5,-1.0217622607877012e-05,1.0086254990406007,0.7369611001451597,1081
5,spanned_block,1,-9.736983140959908e-06,0.9611795088349986,0.6998535129016322,1081
5,weak_block,2.3.4.5,-9.687766490167754e-06,0.9563211214320352,0.3234069450746113,1081
5,all,1.2.3.4.5,-9.764086835152563e-06,0.9638550311291804,0.32410700146551064,1081
21,none,-,-2.2044919822260603e-05,1.0,0.08875184595517083,1081
21,only_cv1,1,-2.9102628772887523e-05,1.3201512642155386,0.0611115513633812,1081
21,only_cv2,2,-1.8757542339686503e-05,0.8508782291303886,0.04604214502379522,1081
21,only_cv3,3,-1.737456753489637e-05,0.7881438297340421,0.037880458341994494,1081
21,only_cv4,4,-1.2173539655468621e-05,0.5522151930521415,0.04854637829312858,1081
21,only_cv5,5,-2.3677652751129784e-05,1.0740639086933976,0.10776471914795782,1081
21,spanned_block,1,-2.9102628772887523e-05,1.3201512642155386,0.0611115513633812,1081
21,weak_block,2.3.4.5,-1.4867958465663612e-05,0.6744392170866591,0.02269176473159673,1081
21,all,1.2.3.4.5,-2.8416352807740346e-05,1.289020465343039,0.017268688587402936,1081
63,none,-,-0.0003558985627553704,1.0,0.545659744326702,1081
63,only_cv1,1,-0.0003493084135916258,0.9814830689038933,0.5481481424006542,1081
63,only_cv2,2,0.00042803376114246977,-1.202684713949469,0.01231616023630655,1081
63,only_cv3,3,-0.00022138311688036857,0.6220399294855763,0.14552208436325254,1081
63,only_cv4,4,-0.00037211999754941175,1.0455788151220808,0.5042397602141435,1081
63,only_cv5,5,-0.00042857813423844565,1.20421428769026,0.6349011077887545,1081
63,spanned_block,1,-0.0003493084135916258,0.9814830689038933,0.5481481424006542,1081
63,weak_block,2.3.4.5,0.0004432623970224356,-1.2454739732318485,0.01147579068471205,1081
63,all,1.2.3.4.5,0.0004338010678062998,-1.2188896309324977,0.011965358715790297,1081
