boundary,phi_lead_block,phi_tail_block,v_lead,v_tail,interaction,horizon
1|2.3.4.5,-1.4163096902756632e-07,-1.8895063274212693e-06,-1.47879455876976e-07,-1.895754814270679e-06,1.2496973698819351e-08,1
1.2|3.4.5,-9.298302709365202e-07,-1.1013070255123155e-06,-9.59414267332761e-07,-1.1308910219085563e-06,5.916799279248163e-08,1
1.2.3|4.5,-1.3212243494199652e-06,-7.099129470288705e-07,-1.3521965108547179e-06,-7.408851084636232e-07,6.194432286950541e-08,1
1.2.3.4|5,-1.7793347181423202e-06,-2.518025783065155e-07,-1.778084454864186e-06,-2.505523150283812e-07,-2.5005265562685376e-09,1
1|2.3.4.5,-2.1566572220893705e-06,-7.03053339789453e-06,-2.1180474723612834e-06,-6.991923648166443e-06,-7.721949945617423e-08,5
1.2|3.4.5,-3.8777059353328714e-06,-5.309484684651029e-06,-3.914137488400049e-06,-5.345916237718207e-06,7.286310613435591e-08,5
1.2.3|4.5,-4.984533304882763e-06,-4.202657315101137e-06,-5.040524001670606e-06,-4.25864801188898e-06,1.1198139357568478e-07,5
1.2.3.4|5,-7.147662303993757e-06,-2.0395283159901434e-06,-7.126624194360573e-06,-2.018490206356959e-06,-4.2076219266369216e-08,5
1|2.3.4.5,-1.031974480998274e-05,-8.43949662793133e-06,-1.0704385099436116e-05,-8.824136917384706e-06,7.692805789067531e-07,21
1.2|3.4.5,-3.7459387420253967e-06,-1.5013302695888672e-05,-3.580933767128279e-06,-1.4848297720991555e-05,-3.300099497942355e-07,21
1.2.3|4.5,-7.563466026583136e-06,-1.1195775411330933e-05,-7.882233330544844e-06,-1.151454271529264e-05,6.375346079234151e-07,21
1.2.3.4|5,-1.549641822800674e-05,-3.262823209907329e-06,-1.5679803906637653e-05,-3.446208888538242e-06,3.6677135726182614e-07,21
1|2.3.4.5,-1.3808439375961531e-05,-0.0003060646162639392,-1.2928561145982703e-05,-0.00030518473803396035,-1.7597564599576565e-06,63
1.2|3.4.5,-0.00024926768471840964,-7.060537092149106e-05,-0.00024388180791293929,-6.521949411602071e-05,-1.077175361094071e-05,63
1.2.3|4.5,-0.0002923348457494618,-2.7538209890438925e-05,-0.00029193615680733406,-2.7139520948311208e-05,-7.973778842554347e-07,63
1.2.3.4|5,-0.0003122188944091678,-7.654161230732925e-06,-0.0003128372649558349,-8.272531777400033e-06,1.2367410933342149e-06,63
