,cv1,cv2,cv3,cv4,cv5
Coffee,-3.513609025357906e-08,1.2160389743092301e-06,-1.3727179714513092e-06,-2.4975701483683206e-06,-2.6717064350043774e-07
SoybeanOil,-5.946063060005633e-07,-9.836284552681984e-07,-2.559979000864584e-07,-2.631127824682299e-07,-5.2351990300383525e-09
Corn,-7.860049962094082e-07,-1.193045773446358e-07,-1.840349176199714e-07,-3.98235911444058e-07,-4.959562229695319e-07
Cotton,-2.694082793081317e-07,2.7140615529206437e-07,-1.002107586743262e-06,7.060160145135031e-08,-5.427604454020416e-07
HRWWheat,-1.8739726760528648e-06,-9.104753766538781e-07,-3.4286606878391277e-07,-1.1825734244423493e-06,-7.065920102384547e-07
LeanHogs,1.5683659214498135e-06,-1.7558508481036919e-07,1.7019364168437908e-07,-6.322355915586239e-07,-5.45949571390662e-07
LiveCattle,-7.851667343924762e-08,-1.9287832667004023e-07,-2.3927040055067117e-07,-6.86870577665698e-08,3.120410978515169e-08
Soybeans,-1.527813796449545e-07,-2.691190638039748e-07,-1.2225822947695003e-07,9.807470146526263e-09,-6.142565959207122e-07
Sugar,-3.653478192943387e-07,-2.5801770782368223e-07,-1.4229829382939287e-08,9.894559750174869e-08,-3.361046973759754e-07
Brent,-1.8772320557193365e-06,-6.571125769082341e-06,-9.449821428472902e-07,-7.955246637775301e-07,-1.291388507233947e-06
NaturalGas,6.399714663682648e-07,-2.260859430862364e-06,7.602483905556322e-07,-2.899948971783642e-06,6.997342326738223e-06
WTI,-1.0343157581844319e-06,-8.680235701409823e-06,-1.786014651786474e-06,-1.1803509620369907e-06,-1.5819664606483052e-06
Gasoline,-7.622728952123226e-07,-2.942143773365744e-06,-6.629681393756398e-07,-3.31687773495661e-07,-8.833705352740292e-07
HeatingOil,-1.8305728506983112e-06,-4.800757778910665e-06,-1.4379522872146986e-06,-3.0197187713813464e-07,-6.057263933455419e-07
Gold,-6.508693515206376e-08,-1.8095915205299456e-07,-4.782241587199154e-07,-2.2996244783279394e-07,6.77686941660165e-09
Silver,9.564351619993168e-07,-6.010614951232782e-07,-1.1821831323167826e-06,-9.012392899779345e-07,-4.4747020686320066e-07
Copper,6.623018857738828e-07,-4.752899729665919e-07,-5.555336197352633e-07,-3.0096716977215484e-07,-1.244125519678743e-07
Aluminium,-4.361794282370858e-07,-2.9700139814741255e-07,1.4372058320653698e-07,-4.475578466372635e-07,-6.18683220585082e-07
Nickel,8.67282931083171e-07,-2.463685189550159e-06,-3.842133648517704e-07,-1.1755658343781955e-06,5.047499924372762e-07
Zinc,1.7383600875636353e-06,-3.235606630956592e-07,-2.8618260365395603e-07,-3.42216727853711e-07,-4.959698417893967e-07
Platinum,-4.802915390286596e-07,-5.92885406944632e-07,2.8467618572097127e-07,-6.770583939798949e-07,-4.419034145720024e-07
