horizon,dim,spanned,phi_std,phi_pct_of_ar1_mse,boot_lo,boot_hi
1,cv1,True,-1.412814953104021e-07,-0.03521197287986265,-6.185770451360851e-07,3.168457233925397e-07
1,cv2,False,-7.891873899757505e-07,-0.19669132827269642,-2.055015419519382e-06,4.5009641995810705e-09
1,cv3,False,-3.8969557479936727e-07,-0.09712489226625211,-9.051444330839132e-07,9.941151429330914e-08
1,cv4,False,-4.6041472785621973e-07,-0.11475041989854214,-9.621648218934631e-07,-9.626680722336107e-08
1,cv5,False,-2.505581085070961e-07,-0.06244728159337345,-7.929776571752992e-07,2.519153996937452e-07
5,cv1,True,-2.158568946417181e-06,-0.11185187468427987,-4.179784132447157e-06,1.4349899867662215e-07
5,cv2,False,-1.7214833918083773e-06,-0.08920314772952628,-5.025448064171913e-06,9.431514375545594e-07
5,cv3,False,-1.1006778387705422e-06,-0.057034490324838115,-2.3017746816123147e-06,-1.0361827589916303e-07
5,cv4,False,-2.1654949437961303e-06,-0.11221076328599897,-3.6539120122696858e-06,-6.391837210072261e-07
5,cv5,False,-2.0409654991916703e-06,-0.10575794561922008,-3.94430153408391e-06,-3.3212462044702044e-07
21,cv1,True,-1.0308050205683712e-05,-0.1441101170701679,-1.8098196631882548e-05,-3.979263674622981e-06
21,cv2,False,6.543535689768759e-06,0.09148089847151179,-2.1664632571381762e-05,3.547737619802007e-05
21,cv3,False,-3.7992805507030727e-06,-0.05311525982307887,-7.787309014267061e-06,-5.855557348431053e-08
21,cv4,False,-7.930508860093084e-06,-0.11087126444377017,-1.421368263179224e-05,-1.6704297115303864e-06
21,cv5,False,-3.2649375112029593e-06,-0.04564495880188946,-8.053768764376572e-06,1.9286960557837427e-06
63,cv1,True,-1.3647336621127699e-05,-0.06320314690135775,-3.516990041675099e-05,7.988492819268776e-06
63,cv2,False,-0.00023575299033957076,-1.0918123656302858,-0.0007273834374777502,0.00010652440991750315
63,cv3,False,-4.301818072525333e-05,-0.19922454258204395,-8.98728327265681e-05,-1.0668937316861761e-05
63,cv4,False,-1.9801144853377403e-05,-0.09170248391511157,-3.372125857931717e-05,-6.0777101805859125e-06
63,cv5,False,-7.653403100571558e-06,-0.03544421698457091,-3.12173318797185e-05,1.317819074040994e-05
