,dim1,dim2,dim3,dim4,dim5
fx_dxy,0.18817998695096305,0.6405783931337369,0.33110850256047597,0.00048228337063074725,-0.06667239635742013
fx_bbdxy,0.29563192852073045,0.6504034402570922,0.33072450661847375,0.08862337886416238,-0.0757912916278784
fx_eurusd,-0.1358528447663133,-0.5350059394753636,-0.2539894095637014,-0.06230801861877992,0.012479672842847586
fx_usdcnh,0.24268373870204552,0.545357073882386,-0.18404752256754162,-0.03441637111089864,-0.13841275649387802
fx_audusd,-0.4426287388941669,-0.6729753118306465,-0.050807251421382454,-0.05923911113255608,0.06554040470905485
fx_usdbrl,0.31255282334961243,0.3046331165609333,0.028977389985053722,0.6896618096072309,-0.18885875969272312
fx_usdclp,0.30679590794516914,0.581598740317164,-0.16799065396002352,0.03737628877893603,0.08075272924754241
fx_usdcad,0.5809070477793902,0.34549845891620523,0.10910738628224144,0.1243475674988143,-0.07821046597435304
fx_usdnok,0.5580684984251412,0.44038543442266276,0.1699777268808669,-0.011934462619200937,-0.04829248841999975
fx_usdzar,0.3309184909047407,0.5398923306810259,0.03454951377809442,0.09662334403858325,-0.0026378333777052274
ust_10y,-0.21945941908694067,0.2929942182548859,0.5037527222121139,-0.23906169763359955,-0.030058210781932757
ust_5y,-0.17477114825351514,0.29712277114440655,0.5203555357549066,-0.2377243678194889,-0.02965976230236721
ust_2y,-0.13743342808969594,0.2903278929237167,0.433915303576794,-0.27657135018259915,-0.03352332612862686
tips_10y,0.08747372756021284,0.31047983223928194,0.4947040343552245,-0.20528648907647765,0.016397577120924958
tips_5y,0.27219909657850516,0.24894256321915312,0.558169508960833,-0.16477340102482743,-0.013180675696408892
be_10y,-0.5613805170427129,0.017292902640441376,0.08161870776339478,-0.0909811952657671,-0.08417241510024309
be_5y,-0.6713383745317366,0.07092478383603038,-0.028988505317788574,-0.08674191573001212,-0.03899069420490106
inflsw_5y,-0.6633907692908537,0.09021181206461205,-0.008360698272272815,-0.04041856834413342,0.026726320332300157
inflsw_10y,-0.5662057851383102,0.042794844599413004,0.07077191157026344,0.01787118291925847,-0.08014455911886144
cny_10y,-0.13234146936338384,0.008259481361135218,0.2517671783318857,-0.04012619249132494,-0.01151177045565097
hy_oas,0.45243470171020383,0.09924278545657299,-0.3843596714017769,0.0580526121860099,0.33492759973396286
ig_oas,0.3609727626131802,0.0932718306998505,-0.11580542712778115,-0.04691784391972913,0.31448215389806194
vix,0.31942955504071535,0.12340510212314659,-0.09178888975258621,0.20591465272566367,0.30210435600059077
move,0.20861618931602868,0.1297617577655659,-0.026086703217591992,0.0729091876478578,0.44445575502325146
ovx,0.3852126874348288,-0.03889246806590348,0.1150552666370126,0.13651782928971176,0.5235354717189268
gvz,0.14042916678172404,-0.06565151071518305,-0.17662130086092936,0.17297115115336947,0.15435270661582431
spx,-0.3894429810835248,-0.17922837402748398,0.09848088557264108,-0.08260218365690448,-0.3414739901780043
mxwo,-0.4519768151488675,-0.33019652050550247,0.10990599141973235,-0.09232483202348987,-0.411417406134532
mxef,-0.37210938147365336,-0.49532528481210625,0.2684901347981867,-0.05396684075649302,-0.17193991066863473
csi300,-0.20836823845118763,-0.2687267534400646,0.360431984739532,-0.006677718200111672,0.04887926796320129
shcomp,-0.22096575259242102,-0.26720041443642667,0.34378165690707435,-0.006921975165268399,0.0520699005289961
hscei,-0.19825346172631075,-0.341287382328639,0.43076109514688893,-0.004780756526846139,-0.041062461630951806
xle,-0.8489027195378612,0.11037165409443078,0.05615687969421066,0.024410121032548738,-0.11658139327435527
bdiy,-0.0322298240410752,0.055150106362191004,0.09162004552603517,-0.009441219943234961,-0.2764633053627695
bdti,-0.013623789578368593,0.06993273159729178,0.19125931322283785,0.20239964730292773,0.19552514115943467
gpr,-0.012270232291550736,-0.0022500255971409713,0.050511076192533005,0.16864416980886018,0.12210930990112133
epu,-0.07248307282799406,-0.04900277950610943,-0.1165391672653216,-0.022958943915450256,0.14609473064257622
