reg,gamma_scale,kcca_min,kcca_mean
0.1,0.5,0.713863336689871,0.8121771807985078
0.1,1.0,0.8430902457976625,0.8875010767084764
0.1,2.0,0.9075223583550278,0.920869625872301
0.3,0.5,0.5577928166407508,0.678457420272991
0.3,1.0,0.696485886807848,0.7628593722318019
0.3,2.0,0.7841386528251643,0.8090280950942731
1.0,0.5,0.3716515360832773,0.49391050285839755
1.0,1.0,0.48653184555210494,0.5609843029887784
1.0,2.0,0.559290324953344,0.6104046752787836
3.0,0.5,0.2153719934893971,0.3281550827712877
3.0,1.0,0.2905929804142636,0.3722172197092233
3.0,2.0,0.3531789712725563,0.41687550146520763
10.0,0.5,0.09730865385117733,0.18980465831917875
10.0,1.0,0.13476275835453153,0.21933972846298802
10.0,2.0,0.17856865285633763,0.24696450510363488
