test,setting,metric,value
drop_xle,J=36,rho_min,0.12263616828799095
drop_xle,J=36,rho_mean,0.3564961095699597
drop_xle,J=36,oos_min,0.0005775759902264229
drop_xle,baseline_J37,rho_min,0.12298554569427712
ridge_sweep,ridge=0.0,oos_mean,0.2912342449509487
ridge_sweep,ridge=0.001,oos_mean,0.11066725574988685
ridge_sweep,ridge=0.01,oos_mean,0.10613771930574778
ridge_sweep,ridge=0.1,oos_mean,0.09121771396781261
ridge_sweep,ridge=1.0,oos_mean,0.03986962520686924
boot_block,mean_block=10,rho_min_lo,0.1299605628883656
boot_block,mean_block=10,rho_min_hi,0.1976013394096559
boot_block,mean_block=21,rho_min_lo,0.12714495709153922
boot_block,mean_block=21,rho_min_hi,0.19592082042298714
boot_block,mean_block=42,rho_min_lo,0.12963063218634377
boot_block,mean_block=42,rho_min_hi,0.19531993208038184
china_seam,pre_2016-08-02,rho_min,0.2827966764851793
china_seam,pre_2016-08-02,rho_mean,0.47399600451877966
china_seam,post_2016-08-02,rho_min,0.14166633357755276
china_seam,post_2016-08-02,rho_mean,0.38881987935872714
