,dim1,dim2,dim3,dim4,dim5
fx_dxy,-0.19529854537248026,0.6843913409278459,-0.014678993788469277,-0.19170163590000378,0.026493610925858405
fx_bbdxy,-0.30530177149279886,0.6876161429474252,-0.024314916775304476,-0.17980571539483808,-0.07148978860932143
fx_eurusd,0.1438168846018904,-0.5689822776576856,-0.00518095175765454,0.14156117906092383,-0.056596960397824664
fx_usdcnh,-0.28411571385947554,0.5087635255486005,0.09789780870104624,-0.22460900159050615,0.06356704141796721
fx_audusd,0.46515826171878505,-0.6574132501961106,0.1116775691409465,-0.06574752849415985,-0.061824335842922504
fx_usdbrl,-0.34340977216358437,0.2844335381960144,-0.21507906320925513,0.16001511556360262,-0.5217827324621463
fx_usdclp,-0.34521917506654076,0.5224787295355007,-0.010758678754778832,0.08090465034823151,0.062254322402412667
fx_usdcad,-0.5914634113300338,0.3262044377434187,-0.0903771970313048,-0.083531255243129,-0.029904861989334796
fx_usdnok,-0.5692510150940862,0.43676800120610826,0.08355212511478428,-0.09636234564163886,0.004234628506861598
fx_usdzar,-0.3596162122345506,0.5286917181917405,0.1067721340620848,0.06560273206361454,0.005426806389840348
ust_10y,0.2592746226659528,0.4130622160861876,-0.1502364647580398,-0.13660060460331527,-0.04767918939715896
ust_5y,0.21686291523999474,0.4213087088506395,-0.1579563611270766,-0.14115566715963768,-0.020786259969801858
ust_2y,0.17254866222984072,0.3908141926989452,-0.10242800633790551,-0.13500268625353176,-0.029287200178259958
tips_10y,-0.04837032059069317,0.41866618992222204,-0.10134443164444547,-0.01966667447741519,0.0009066820712447629
tips_5y,-0.22889491921324046,0.35858081776246364,-0.11899550998126451,-0.07142865351211064,-0.02404261803840163
be_10y,0.5683914545050377,0.055353069442756274,-0.1071497833219263,-0.2117075784385063,-0.09714208734037555
be_5y,0.6706506565159991,0.09474998398340655,-0.059548852309457785,-0.09776080271647869,-0.041774515502495786
inflsw_5y,0.662012481286068,0.1154658040955836,-0.09081372688678724,-0.15589164670804956,0.025068042624128782
inflsw_10y,0.5697392236457599,0.07153445593948375,-0.16384708875367032,-0.24322767140785834,-0.098837662484967
cny_10y,0.13814106367151016,0.01761454158718485,-0.02112585293588813,0.028982516142488243,0.12900533154489172
hy_oas,-0.4801747783340854,0.005386184972744593,0.37288173455145374,0.25219230182095587,0.08667987224934504
ig_oas,-0.37175359940672525,0.053562170291094946,0.4873852218435506,-0.07072948264532405,-0.04062990416457954
vix,-0.36341375252989416,0.051237916030954345,0.25998049375797894,0.1319060549440358,0.03074857666225828
move,-0.22558555429931682,0.11426185814072706,0.26565913593217516,-0.158432411222811,0.2315591662511414
ovx,-0.3763443181140957,-0.02908581252036417,0.1458983478972754,0.08784915734304426,-0.12606905281912162
gvz,-0.16736972586690774,-0.10240522632946232,0.2927244065200943,0.2975840708901835,-0.012755550301880744
spx,0.42846737747818453,-0.11199039331803512,-0.18685656284416355,-0.03220041674644559,-0.06829825193343539
mxwo,0.49569140592842975,-0.258479883811504,-0.23370390478085698,-0.04347968596243865,-0.07232042178954126
mxef,0.42348951664192674,-0.4163171242744413,-0.23153566994368308,-0.370634792101721,-0.06770261987650271
csi300,0.2612946998204838,-0.1930685308473699,-0.06694477154337804,-0.2897276350632414,-0.08525984015301274
shcomp,0.2715221570381955,-0.1959759332184758,-0.053811301162691116,-0.22368136234777747,-0.07087271850340951
hscei,0.2440037636472579,-0.2575537499889231,-0.0774846676029916,-0.31035934183026065,-0.28127353411705436
xle,0.8507524577718707,0.16161876698048827,-0.03851672923070448,0.05124638352328837,-0.07566613577148164
bdiy,0.0362846056386059,0.08601684313189774,-0.1135789178970695,-0.12848071738900366,-0.09706912238411924
bdti,0.0022698650279802594,0.05682481794514774,0.07079911205955093,0.01355112160135806,-0.0614827618738674
gpr,0.017318791899573492,0.047003388794624776,0.3622230738275904,-0.11661091611485729,-0.21006538615350134
epu,0.08095833503324562,0.0028218540243073764,0.49404544831826186,0.07728502125949151,-0.09471955576370657
