,dim1,dim2,dim3,dim4,dim5
A_f1,-16.41120942065094,14.433483811947179,324.5944810754638,9.016650503447762,-152.36742353395513
A_f2,39.9969274287077,-59.53677543016336,-1049.6227543993778,-71.99549560229956,544.4899617705667
A_f3,31.15175186932864,-22.324065663278112,-643.2571868262386,-2.527047647830249,331.96761160545344
A_f4,-33.40223400129816,31.609248460669328,731.5493292698725,91.76456847794458,-332.4272221783224
A_f5,-9.189686245499843,8.215820653158996,185.43050229765646,38.8872613278166,-82.53214862016782
B_fx_dxy,-46.86893650329632,179.7237423256457,-27.845242825569184,-9.916301682997162,70.71469561455373
B_fx_bbdxy,88.14375328555407,-38.59349159373977,37.92791618515188,-170.9683808376101,-222.7965505074171
B_fx_eurusd,-17.9310920026461,80.71088538135227,-25.26084526572601,-86.25851616490739,-81.1643853165547
B_fx_usdcnh,-32.91379250907994,41.91543892548179,54.447229410140885,-132.2652407136026,19.79691039076888
B_fx_audusd,16.065099379409247,-63.29466009970347,67.3211589281235,-71.84012831182486,-45.964009398268914
B_fx_usdbrl,-4.091868480636522,-1.443873471033698,-36.59793285734117,20.925148244460743,-68.85958466520567
B_fx_usdclp,-5.325507119487555,25.584815167289843,-9.162414282153446,14.267164276489613,16.284119348920235
B_fx_usdcad,-42.384271033493356,-47.631135321968486,-27.474360324421227,-20.97634676792108,2.4780151345594468
B_fx_usdnok,-24.792827411860195,-11.69664192460487,15.688566242696924,-4.446659853003334,-8.883392426335996
B_fx_usdzar,-0.5995073825484074,16.74919505772844,26.19185565186411,6.540181096619296,19.761853460738553
B_ust_10y,5.315919476496075,-12.693793489587089,4.382302452242589,-43.783715312798144,30.0424503269005
B_ust_5y,-2.461264022804953,-4.187110651487431,-12.270860840805062,-2.1280063094752424,46.63799354951705
B_ust_2y,-0.12713102591708944,-0.549133158604224,9.766515277729965,-4.086749466185083,-3.4499764123163823
B_tips_10y,-2.941983617611565,18.673601295546078,0.6463993003782631,42.08373487652535,-36.14625466279135
B_tips_5y,0.8394095185586069,1.7547262448409198,-0.9834163681801051,10.274290411835242,-36.81847099712042
B_be_10y,-13.335857624775551,8.055965642985553,10.418451554502253,34.01294466067644,-42.22166172064178
B_be_5y,9.98491228711194,3.506565726724365,5.505852270859649,23.760770343717187,-47.735711764774514
B_inflsw_5y,8.936874011141168,3.8788926735477895,-2.6720329809521766,-0.4181278474602908,19.681334491514942
B_inflsw_10y,-3.071082866876667,1.8060870848863446,-14.75919437986709,-14.191870036437502,-5.744469398296609
B_cny_10y,2.4195590213066427,0.6922437596872025,0.07606361427829812,2.7955160897456564,7.684756636021828
B_hy_oas,-1.0922428888748263,-1.7321297777236728,-0.39408251516475545,6.7661468683353405,3.102950325241129
B_ig_oas,2.6824216886466616,0.7288901908590596,21.230085354732903,-19.607114210441114,-11.112924272892
B_vix,0.0002525748110204377,0.009446169070229925,0.19146416117675202,0.056931255172886754,-0.07167528292467498
B_move,-0.011901667821849893,-0.01157503391062497,0.019034097220501443,-0.07743137270931683,0.07708140188299482
B_ovx,-0.031244757821837756,-0.008394437672111862,-0.013731638123819261,0.038667989544726035,-0.046401052263112905
B_gvz,0.03110830309389093,-0.13650223786101193,0.16967471996290387,0.28022444745127045,-0.058838052509334535
B_spx,-29.427655056009467,46.36657928150913,32.142036784925246,-59.75695085510542,-38.24863129821371
B_mxwo,-0.7301752339460094,-80.40098323751566,-13.7292592028276,119.79305267472367,36.28228235336797
B_mxef,9.264514848379049,-30.444132082080266,-30.91154991382018,-50.194184385199414,32.49000077724892
B_csi300,-13.51349677090027,11.298058723125925,1.4656915706483375,-83.55593116092345,-5.636181805867493
B_shcomp,25.175311619146843,-18.158444563661103,-5.091669223514193,79.24503214923807,14.91067066078901
B_hscei,-6.8570835167223905,12.965201045699336,19.74858584659756,4.912677315342465,-39.729032371760105
B_xle,34.129698560199735,20.55030887791298,6.7211767142082905,11.958771793627914,-12.136494673938982
B_bdiy,0.46071204736477306,2.548840152298707,-3.7261314920047597,-4.220676645628859,-3.6735040015334417
B_bdti,0.12029374771029172,0.5791280498335916,3.073367185751974,-0.8398431580130772,-0.3577322880011394
B_gpr,0.00013287302198173337,0.000625647266692687,0.004071880281607653,-0.0019954037478281243,-0.0032515541848855047
B_epu,0.00013022398261519405,0.0001274279623378227,0.0037608616197867474,0.001011449678158512,-0.000555004914088651
