reg,gamma_scale,kcca_min,kcca_mean
0.1,0.5,0.5874340176964453,0.7230725137632372
0.1,1.0,0.7481135047631579,0.8251083669049726
0.1,2.0,0.8574857343030448,0.8885460862032288
0.3,0.5,0.4035405864933202,0.5712930319029527
0.3,1.0,0.5729651384084561,0.6764222132337633
0.3,2.0,0.7018228965694893,0.7588117614381954
1.0,0.5,0.21610757604995498,0.3894628193123936
1.0,1.0,0.35547119713219677,0.475109231548343
1.0,2.0,0.4790867311018736,0.5547047451333591
3.0,0.5,0.09923243857456368,0.24328736056760883
3.0,1.0,0.18171197800017755,0.3009018389534746
3.0,2.0,0.2713723705062685,0.36256023888096267
10.0,0.5,0.03680333527022932,0.13352302374724828
10.0,1.0,0.06964389813894023,0.1629264315971069
10.0,2.0,0.1106764682954156,0.19815566489045824
