test,setting,metric,value
drop_xle,J=36,rho_min,0.13278781250377641
drop_xle,J=36,rho_mean,0.3342377506714362
drop_xle,J=36,oos_min,-0.002470852165458764
drop_xle,baseline_J37,rho_min,0.1350011664279684
ridge_sweep,ridge=0.0,oos_mean,0.23553939192005652
ridge_sweep,ridge=0.001,oos_mean,0.08136448449769824
ridge_sweep,ridge=0.01,oos_mean,0.07342538171226756
ridge_sweep,ridge=0.1,oos_mean,0.05619602063761807
ridge_sweep,ridge=1.0,oos_mean,0.0225441198289129
boot_block,mean_block=10,rho_min_lo,0.1390473548569573
boot_block,mean_block=10,rho_min_hi,0.20173552848561385
boot_block,mean_block=21,rho_min_lo,0.13682381713274278
boot_block,mean_block=21,rho_min_hi,0.20507296076543235
boot_block,mean_block=42,rho_min_lo,0.13456530587290225
boot_block,mean_block=42,rho_min_hi,0.20280110314581637
china_seam,pre_2016-08-02,rho_min,0.22610879858100416
china_seam,pre_2016-08-02,rho_mean,0.42848931265806955
china_seam,post_2016-08-02,rho_min,0.14882726456951945
china_seam,post_2016-08-02,rho_mean,0.3676637959816159
