,V1,V2,V3,V4,V5
fx_dxy,-0.08321993768509608,0.13610183230406553,0.03950416643245211,0.04199428940743694,0.025854030985899813
fx_bbdxy,-0.13367479451770206,0.1325981757120821,0.030995264880594727,0.05992660192327792,0.030364700852896952
fx_eurusd,0.059109157547759604,-0.09525961982436852,-0.04547890718775874,-0.03719541607486346,-0.013288462484236799
fx_usdcnh,-0.12260588275829432,0.11441764835794095,0.01512440912163851,0.026351043795997585,0.035164796199650586
fx_audusd,0.1985637210126205,-0.12142213806338052,-0.04739652852996875,-0.04829459652540334,-0.023913957069197505
fx_usdbrl,-0.1480487320445825,0.035928851558188396,0.027434786337936463,0.09984074380359273,0.0746924698306159
fx_usdclp,-0.16745551590023947,0.1955087784939851,0.010712486788339371,0.027519770976087345,0.015431897515796163
fx_usdcad,-0.2191434731625455,0.04280775560079551,-0.011340970964488623,0.04145330858519107,0.0550731048942053
fx_usdnok,-0.21365522458105451,0.06534588231207257,0.020941809263229715,0.02640778621912144,0.040309481681379405
fx_usdzar,-0.16639244718505897,0.15249596483624445,0.048786115190932455,0.07198511618735567,0.025894545021824932
ust_10y,0.055929887962229634,0.0953897212405959,0.08000611071681388,0.04936537765612002,0.03012007893374742
ust_5y,0.061139555463107745,0.10795594028635898,0.07931319058411282,0.053345024587791987,0.03214079224479666
ust_2y,0.05865428771610681,0.11251126550371,0.06738719058973053,0.04696092702858883,0.029616225919556427
tips_10y,-0.05179181893649682,0.06858345089327221,0.0734966124536972,0.03932065521979245,0.027657654809596477
tips_5y,-0.10015270664574026,0.038285700456491295,0.06536749611518756,0.04442558993887411,0.026980782731957306
be_10y,0.18262131369747028,0.09367718234955917,0.026495494529470788,0.03476533453895113,0.01135088670730091
be_5y,0.2298464630889903,0.13998644402993415,0.011391167888971066,0.01681394427800006,0.002707907249578996
inflsw_5y,0.2299200685322256,0.13615962073375654,0.0005404751788954574,0.03273556998506724,0.009349476030582718
inflsw_10y,0.18484063260688705,0.08978847770485728,0.02849636234407785,0.05506430437333677,0.024237575666654642
cny_10y,0.04976715858727557,0.01896608409860388,-0.0042371321452061355,0.02858183285975532,-0.01797531131967612
hy_oas,-0.1717286109269511,-0.06118458146689456,0.008134652642972466,-0.025312091697542213,-0.013047959414150266
ig_oas,-0.14081991056579612,-0.05214745499065927,-0.014441228643517814,-0.014467622229627655,0.012389571790333483
vix,-0.12073627554368697,-0.010228874407991514,-0.005241584240970788,-0.0035473473685265215,0.01396343853122913
move,-0.07551799903786305,0.03214555531909603,0.034233773900572036,0.010215456346502687,0.02560720452575833
ovx,-0.1606279598798552,-0.09462004713723253,-0.014936988376279542,0.006381713610123402,0.013268479892218334
gvz,-0.04325774104681566,0.034524325874396786,0.012388842735187124,0.03088180940271282,0.03210138503643264
spx,0.14121911446975857,0.003072724296588594,-0.0046559429766228734,0.010402198250223666,-0.0031930929634093135
mxwo,0.17863186325254,-0.04797323534472817,-0.0008642222654608167,0.018155841555622776,0.0031820076012383687
mxef,0.19973141942697145,-0.10382470635270305,-0.0012082961662593416,0.008412631334519312,0.005033516097588142
csi300,0.129499490566933,-0.010873066537937508,0.04966843101736671,0.045741907571597185,0.0031154771275195394
shcomp,0.13690216105756506,-0.01769154749260661,0.045295389628650165,0.04617600769796819,7.538788901516735e-05
hscei,0.14119086027022995,-0.07025834538492924,0.0679884375254433,0.02776218605279924,0.0066295810175220505
xle,0.3185789811582018,0.1410389848231952,0.005337438722136905,0.008989441927362963,-4.450370077084501e-05
bdiy,0.03426548793251632,-0.01591921652228284,-0.001960074462938117,0.017829673892826435,0.033254025070819725
bdti,0.007246592610128736,-0.013805949281297253,0.005813578493618954,0.0177318372252381,0.01723384773380108
gpr,-0.013567210390439358,-0.03502854348025423,0.04432874516540941,-0.006700391827954155,0.005666353943184136
epu,-0.005891346843721957,-0.044031147991448014,0.0338086638747822,0.05385280427677424,0.017149597056020267
