horizon,rank,macro_stable,phi,boot_lo,boot_hi
1,V1,True,-2.1879768117633155e-06,-3.696109751876916e-06,-9.902876207865932e-07
1,V2,False,-1.3564652237726707e-06,-1.9586585247772767e-06,-7.389037789012217e-07
1,V3,False,-1.8824015332247692e-06,-3.012147889229309e-06,-9.502232319565495e-07
1,V4,False,-1.8234539511204419e-06,-2.5934823449837243e-06,-1.1581058590826547e-06
1,V5,False,-1.5880020023579518e-06,-2.3260404772415734e-06,-8.3356901710364e-07
5,V1,True,-1.2052713152193157e-05,-2.3176516427874503e-05,-4.00181178780698e-06
5,V2,False,-5.986936406222432e-06,-9.583023757546177e-06,-2.6511117694961078e-06
5,V3,False,-8.162407373232818e-06,-1.221029652601427e-05,-4.6445422028148835e-06
5,V4,False,-9.446290256128732e-06,-1.2642130847384038e-05,-6.486441622226757e-06
5,V5,False,-8.037497134152201e-06,-1.2429946103926628e-05,-4.189704035576719e-06
21,V1,True,-4.857084980964238e-05,-0.00011113645818636527,-1.0558176005824088e-05
21,V2,False,-2.6157523439333724e-05,-4.269303335163464e-05,-1.2096559381022643e-05
21,V3,False,-3.46803602987148e-05,-4.689113034703757e-05,-2.1341844704178117e-05
21,V4,False,-4.181922146292708e-05,-6.229916386546839e-05,-2.3681887388899805e-05
21,V5,False,-3.0494929110728942e-05,-4.798346733082909e-05,-1.379949139879591e-05
63,V1,True,-0.00030283907974767017,-0.0006813362828635624,-6.462508945625035e-05
63,V2,False,-0.00015496962150771018,-0.00024861051685157556,-7.118010482621493e-05
63,V3,False,-0.00014527686010183278,-0.0002474688283983119,-6.589118195899533e-05
63,V4,False,-0.00024255678212281714,-0.0006035724194390823,-1.5570058754655006e-05
63,V5,False,-0.00016484353621462567,-0.00032430518943091984,-4.0019039928356524e-05
