window,train_start,test_start,test_end,n_train,n_test,ridge_m,n_spanned,rho1,rho2,rho3,rho4,rho5,rho_oos1,rho_oos2,rho_oos3,rho_oos4,rho_oos5,top_macro_V1,top_macro_V2,top_macro_V3,top_macro_V4,top_macro_V5
0,2013-10-21,2014-11-21,2014-12-22,252,21,0.0,5,0.6991790618082862,0.6068959814650768,0.511461779649636,0.4851620435691165,0.4173205485663247,0.5503554695787738,0.03998962009903379,-0.5067743836077236,0.18558640333694498,0.18925509787838948,xle(+0.54); ovx(-0.47); gvz(-0.25),gvz(+0.40); fx_bbdxy(+0.32); fx_audusd(-0.32),fx_usdzar(+0.34); fx_usdnok(+0.29); fx_usdbrl(+0.29),mxef(+0.47); vix(-0.44); mxwo(+0.43),ovx(+0.57); ust_10y(-0.49); tips_10y(-0.48)
1,2013-11-19,2014-12-23,2015-01-27,252,21,0.001,1,0.48537512419222806,0.3106267082955562,0.27084105689472926,0.2124709565819558,0.07218960135761263,0.5012705000426012,0.24785821955448833,0.14924650673803028,-0.04646137600896926,-0.04427105051931382,ovx(+0.90); gvz(+0.35); fx_usdnok(+0.32),vix(+0.80); spx(-0.66); mxwo(-0.63),gvz(+0.83); ovx(-0.35); epu(+0.26),epu(+0.87); vix(+0.45); spx(-0.39),gpr(+0.92); vix(-0.28); ust_10y(+0.22)
2,2013-12-23,2015-01-28,2015-03-06,252,21,0.001,1,0.4870871739898245,0.3140522868888429,0.21730524455383662,0.1996901289123301,0.06010514879031361,0.5070791658620969,-0.25271486310150115,-0.03768318559515248,0.2861467003819692,0.34047499620471233,ovx(+0.97); xle(-0.42); be_5y(-0.34),vix(+0.78); spx(-0.64); mxwo(-0.60),epu(+0.73); gvz(+0.54); tips_5y(-0.28),gvz(+0.61); epu(-0.61); vix(-0.28),gpr(+0.84); vix(-0.32); ust_10y(+0.25)
3,2014-01-27,2015-03-09,2015-04-08,252,21,0.001,1,0.4652993296713652,0.2636770509294917,0.24221438523707892,0.11012315594692425,0.07453887268517996,0.4174702415525031,0.14295628247301645,0.27617428711121395,0.5918993889222386,-0.0016441046205716062,ovx(+0.97); xle(-0.44); mxwo(-0.35),vix(+0.83); spx(-0.68); mxwo(-0.63),gvz(+0.79); epu(+0.41); ovx(-0.23),epu(+0.65); gpr(-0.63); move(+0.31),epu(+0.50); move(+0.50); gpr(+0.44)
4,2014-03-07,2015-04-09,2015-05-11,252,21,0.0,1,0.694467842490589,0.5586074236773493,0.4743487058997445,0.4471213413355001,0.32106808509159857,0.6660896987988184,0.06082143844270941,0.04028129590141514,-0.21876034757209717,0.13498290682507913,be_5y(+0.63); ovx(-0.63); xle(+0.62),ust_2y(+0.37); gvz(+0.34); fx_usdclp(+0.34),be_10y(+0.36); be_5y(+0.34); inflsw_5y(+0.33),vix(+0.49); mxwo(-0.44); hy_oas(+0.41),move(+0.41); hy_oas(+0.31); fx_usdbrl(-0.27)
5,2014-04-08,2015-05-12,2015-06-10,252,21,0.0,1,0.7053645569474654,0.5738033001263416,0.49495720287055306,0.40188180192486017,0.323239445262337,0.627488820784626,0.2741616353454853,0.20019068450942973,-0.05368109574992356,0.1782289010760433,xle(+0.63); fx_usdcad(-0.62); ovx(-0.62),gvz(+0.37); ust_2y(+0.36); fx_usdclp(+0.33),fx_usdcnh(+0.34); be_10y(+0.33); inflsw_10y(+0.30),vix(+0.47); mxwo(-0.40); fx_usdclp(+0.40),fx_usdbrl(+0.36); move(-0.35); fx_bbdxy(+0.26)
6,2014-05-14,2015-06-11,2015-07-13,252,21,0.0,1,0.7194211742186075,0.5510724313623678,0.48811611146801326,0.4019300987155187,0.33749751217935203,0.5407891215984097,-0.04611602280922611,0.09869931666485025,0.22923548791661677,0.2231122740823349,ovx(+0.67); fx_usdcad(+0.65); xle(-0.64),ust_2y(+0.36); mxef(-0.32); bdti(-0.31),be_10y(+0.40); inflsw_5y(+0.37); inflsw_10y(+0.37),fx_usdclp(+0.53); vix(+0.42); mxwo(-0.38),fx_usdbrl(+0.36); move(-0.28); fx_usdnok(-0.24)
7,2014-06-16,2015-07-14,2015-08-12,252,21,0.0,1,0.7272404455921656,0.5296639860186799,0.5112568779656458,0.4162563059296719,0.3593997087076351,0.651632618477694,0.1333830055419045,-0.3132685723277233,0.3178450468823616,-0.12217901699802472,ovx(+0.74); fx_usdcad(+0.63); xle(-0.62),fx_usdclp(+0.50); gvz(+0.42); fx_audusd(-0.39),be_10y(+0.34); be_5y(+0.31); inflsw_10y(+0.31),move(+0.46); inflsw_5y(+0.34); tips_5y(-0.31),fx_usdbrl(+0.50); fx_usdclp(+0.22); csi300(-0.21)
8,2014-07-16,2015-08-13,2015-09-16,252,21,0.0,1,0.7451382171937171,0.5261651343441476,0.5038473532689037,0.44500773857174125,0.36474202211397244,0.7545131883877346,0.37484478689837747,0.31638802924989784,0.16367098107452224,-0.11893994360915905,ovx(+0.74); fx_usdcad(+0.66); xle(-0.61),gvz(+0.55); fx_usdclp(+0.41); ust_2y(+0.40),be_10y(+0.34); ig_oas(-0.33); fx_usdclp(-0.31),fx_usdclp(+0.40); tips_5y(-0.37); move(+0.35),fx_usdbrl(+0.30); move(-0.29); inflsw_5y(-0.25)
9,2014-08-14,2015-09-17,2015-10-22,252,21,0.0,1,0.7627884570624086,0.5400362781206597,0.4973045622003578,0.4526534759890588,0.34817509498066695,0.20856447552493848,0.49449946243917975,0.02501356729718593,0.15510515572175987,0.09031888675394291,ovx(+0.67); fx_usdcad(+0.65); xle(-0.63),fx_usdclp(+0.52); gvz(+0.44); ovx(-0.30),ust_2y(+0.43); ust_5y(+0.37); inflsw_10y(+0.35),tips_5y(+0.44); tips_10y(+0.40); hy_oas(-0.40),fx_usdbrl(+0.43); inflsw_5y(-0.24); inflsw_10y(-0.23)
