,V1,V2,V3,V4,V5
fx_dxy,0.01277601688501226,0.11999897935612734,0.029492673047061373,0.020541950403532946,0.010739496442496483
fx_bbdxy,0.02759135359613389,0.12036652493332223,0.02989923910321202,0.020379361807742066,0.022834012214625454
fx_eurusd,-0.005277487188472462,-0.1017266603309997,-0.021929021618840885,-0.016411766340435466,-0.004433925044762082
fx_usdcnh,0.0025279901755627296,0.12075553173308452,0.03815836102615751,0.001829063752449692,0.0156571594341661
fx_audusd,-0.023045671052983673,-0.08635869815147232,-0.019884538234406526,-0.022020670036904205,-0.02896917233744704
fx_usdbrl,0.02219118951490594,0.06414659204886394,0.015452841511365766,0.034173901992331376,0.006852808931644791
fx_usdclp,0.023672325028489868,0.07401006231560284,0.03703502460368327,-0.013053520889556585,0.009802435231938026
fx_usdcad,0.05218453485240058,0.02515036614082378,-0.01140655990695125,0.0037163056502090334,0.008817737819667378
fx_usdnok,0.027210907552991465,0.04310918483960791,0.01775409372950652,0.007378194264558655,0.006053465291196928
fx_usdzar,0.039231630069684637,0.1274377811498889,0.03814043376016801,0.03688117543125236,0.0349291088891778
ust_10y,-0.025061465423033714,0.10846984774887021,0.0379170798743982,0.05863363663508608,0.045745295500828946
ust_5y,-0.017703948586287058,0.10488554975824381,0.04446290694039375,0.059827632058372236,0.05088504917414292
ust_2y,-0.019068097200358385,0.0938918433909403,0.035372393022617826,0.050936791504179485,0.04257116153361303
tips_10y,-0.016855443008070695,0.07829447829360771,0.04320862858984551,0.04106682622561433,0.026190869416031326
tips_5y,0.0007001553127542841,0.048972802262922846,0.036806678234372905,0.04222728182675961,0.028068210899706132
be_10y,-0.017210746470867514,0.09136458706216162,-0.004096513976934853,0.04258718126115123,0.04939792560365728
be_5y,-0.02234312877025352,0.10197401906569781,0.006620154132997011,0.028649433442456806,0.046396515959758536
inflsw_5y,-0.01709255138575351,0.0903727844997799,-3.339861694560675e-05,0.04191888488853521,0.04395171060691988
inflsw_10y,-0.009199060339441335,0.08549416754819032,-0.00024560646356190907,0.04540951931618917,0.04220384717520435
cny_10y,0.03267706914079103,-0.009751777963879054,0.026739928380062977,0.03852913554588662,-0.00020651367500388652
hy_oas,0.049145027717785596,-0.059714459434564146,0.0018527356988760645,-0.022919762375523477,-0.011375377809026267
ig_oas,0.04313685859038236,-0.03730846866486885,0.019752054397892304,-0.021078017694195914,-0.02077714893440841
vix,0.09346577024297781,0.025869615097626652,0.015395812671649408,0.023390757151272194,0.021162764080129747
move,0.07348318176943079,0.03437296118676204,0.04927695459036596,0.020963975169514957,0.005115258124502228
ovx,0.16713166221281686,-0.03625736935253944,0.02437649435816135,0.06339005535285791,-0.010224384825796977
gvz,0.10164484998213634,0.09069825414543625,0.04074612965090758,0.03398303878261976,-0.0015948916688551388
spx,-0.08767886188742653,-0.022375274603688315,-0.012801395552891712,-0.010801824333228984,-0.010006331968912556
mxwo,-0.0864039182406013,-0.03691495519322833,-0.013112613395579615,-0.004614804140348924,-0.005163794668526136
mxef,-0.03921371974439726,-0.023203958815321068,0.013354368944915969,0.022418864382603577,0.004307987664959718
csi300,0.02085655786623464,0.02685816420517805,0.05744594129659203,0.016899125927192737,0.04872834411660311
shcomp,0.025310230318122656,0.022328377911242144,0.06065053112484943,0.01533112690173618,0.04342552365751121
hscei,0.006089156980821471,0.004520415316899711,0.04504353199708671,0.032610822823485,0.017260040837275857
xle,-0.03219327912859519,0.10677641171775672,0.047852631298695346,0.02076182874604998,-0.005798077834634755
bdiy,0.013913492862652291,0.01880572954064946,0.01165751165702556,0.002028680897201422,0.038300676635632754
bdti,0.002619686640332655,-0.0070616367646757355,0.0004205692863207786,-0.010454451191717222,0.0016595131787382792
gpr,-0.00038671070968382306,0.02996551072921787,0.08140391097606406,0.06760727021261222,0.06846691402565498
epu,-0.019771804018875013,0.0913996998327256,0.04031129031011531,0.07647193882819517,0.03434749233144985
