horizon,rank,macro_stable,phi,boot_lo,boot_hi
1,V1,True,-2.3074796999402875e-06,-3.283222704949409e-06,-1.353068615295649e-06
1,V2,False,-2.850562147912924e-06,-4.327856077084728e-06,-1.538749757327836e-06
1,V3,False,-2.0573796419528457e-06,-2.8142652687092894e-06,-1.3680266424964299e-06
1,V4,False,-2.1943475084338213e-06,-3.121176627258341e-06,-1.4233004008574156e-06
1,V5,False,-1.7873372535464167e-06,-2.5106472854049487e-06,-1.1391674618802653e-06
5,V1,True,-1.0627012854608288e-05,-1.8820199979847897e-05,-4.034817059179587e-06
5,V2,False,-9.535033176890908e-06,-1.5193036494918127e-05,-4.613473844924606e-06
5,V3,False,-5.306132834591315e-06,-8.334220054902467e-06,-2.707409221828922e-06
5,V4,False,-1.140301351495572e-05,-1.6515602201754473e-05,-6.9561107889693885e-06
5,V5,False,-6.136676039770001e-06,-9.40225655189818e-06,-3.446468355582262e-06
21,V1,True,-3.818829162325292e-05,-8.306847193200722e-05,-5.796617310847809e-06
21,V2,False,-5.303885509956214e-05,-9.155940018088352e-05,-2.6144630112718106e-05
21,V3,False,-3.4343983091793254e-05,-5.213428222777238e-05,-1.8155069297241612e-05
21,V4,False,-4.9995314713846256e-05,-8.425057330200025e-05,-2.376025207923672e-05
21,V5,False,-2.0560201594103264e-05,-3.243958187766948e-05,-9.954156503986401e-06
63,V1,True,-0.00013131915416433694,-0.00020162232937451406,-7.107272446462021e-05
63,V2,False,-0.0004331473283249233,-0.0012025307968838877,1.6785344683017736e-05
63,V3,False,-0.0003063666953281925,-0.0006235123508696451,-0.00010229583720061464
63,V4,False,-0.00016652559044885704,-0.00028512567931701524,-6.921664713375841e-05
63,V5,False,-0.00012336694444041845,-0.0002694441446229331,-1.4758995062686921e-05
