window,train_start,test_start,test_end,n_train,n_test,ridge_m,n_spanned,rho1,rho2,rho3,rho4,rho5,rho_oos1,rho_oos2,rho_oos3,rho_oos4,rho_oos5,top_macro_V1,top_macro_V2,top_macro_V3,top_macro_V4,top_macro_V5
0,2013-10-21,2014-11-21,2014-12-22,252,21,0.0,3,0.6405674368720504,0.5392418785565316,0.49360044089188965,0.38871957266056884,0.3514455186374863,0.34005572273778406,-0.265455290293233,0.24938831872687975,-0.08751841800924849,0.47409188545106606,gvz(+0.55); ovx(+0.38); fx_bbdxy(+0.37),mxef(+0.38); xle(-0.34); gvz(-0.34),mxwo(+0.41); inflsw_5y(+0.41); hy_oas(-0.41),hscei(+0.29); ovx(+0.27); gpr(+0.27),fx_usdbrl(+0.28); ig_oas(-0.26); gpr(+0.22)
1,2013-11-19,2014-12-23,2015-01-27,252,21,0.0,1,0.626094773476563,0.5048207433486543,0.48071303003136295,0.4090444163490633,0.35590822004688616,0.16949829862859106,0.11546722261838162,0.034499589930297246,0.4432309313214554,0.40261683032045914,gvz(+0.54); ovx(+0.40); ust_10y(+0.28),mxef(+0.53); ig_oas(-0.43); be_10y(+0.42),xle(+0.38); fx_usdcnh(+0.28); inflsw_5y(+0.27),inflsw_5y(+0.33); gpr(+0.29); inflsw_10y(+0.28),vix(+0.30); fx_usdbrl(-0.24); be_5y(+0.21)
2,2013-12-23,2015-01-28,2015-03-06,252,21,0.0,5,0.609146930052384,0.5243315491332463,0.5032449419043447,0.4346113362520507,0.34153272176617333,0.4054771704444562,0.05865679635443176,0.1640285979996902,0.019588425617538638,-0.0721648430203924,ovx(+0.42); gvz(+0.38); xle(-0.32),mxwo(+0.58); mxef(+0.55); be_10y(+0.54),ig_oas(+0.43); be_5y(+0.27); spx(-0.24),inflsw_5y(+0.40); be_5y(+0.30); inflsw_10y(+0.29),fx_usdcnh(+0.33); inflsw_10y(-0.30); be_10y(-0.30)
3,2014-01-27,2015-03-09,2015-04-08,252,21,0.01,2,0.26334675820979553,0.23522163278685432,0.11861661508395177,0.0954644316702616,0.06177943197820511,0.08204163231361186,0.3500792127160333,0.4567715557003761,-0.16587084500597174,0.13207907150746392,vix(+0.67); move(+0.56); spx(-0.54),ovx(+0.72); gvz(+0.67); xle(-0.29),gpr(+0.65); vix(-0.36); epu(-0.34),epu(+0.72); gpr(-0.45); gvz(-0.40),gpr(+0.64); epu(+0.52); move(+0.45)
4,2014-03-07,2015-04-09,2015-05-11,252,21,0.0,1,0.6304265274990066,0.5273608163562427,0.46696451960331703,0.40327805870138755,0.3390962919404919,0.6575839544777884,0.11102157285885624,0.32439517495238057,-0.05117662749541626,-0.26548616955668125,fx_usdcad(+0.54); xle(-0.50); be_5y(-0.45),gvz(+0.40); ust_10y(+0.39); ust_5y(+0.34),ig_oas(+0.48); mxef(-0.45); hy_oas(+0.44),inflsw_5y(+0.49); inflsw_10y(+0.42); be_5y(+0.40),mxef(+0.43); inflsw_10y(+0.34); ig_oas(-0.34)
5,2014-04-08,2015-05-12,2015-06-10,252,21,0.0,5,0.6062488368919201,0.5213560935258439,0.49051532410913573,0.4536634562225819,0.3963805026370588,0.5524758340870596,-0.18603797662833962,0.2902311214334966,0.12393611347219086,-0.22011557017485037,fx_usdcad(+0.53); fx_usdnok(+0.44); ovx(+0.43),mxef(+0.47); hscei(+0.39); epu(+0.33),gvz(+0.47); ust_10y(+0.35); inflsw_5y(+0.32),inflsw_5y(+0.34); fx_dxy(+0.31); be_5y(+0.27),ovx(+0.35); ig_oas(-0.35); csi300(-0.31)
6,2014-05-14,2015-06-11,2015-07-13,252,21,0.0,1,0.6828420369883855,0.522257784410116,0.4684616705426993,0.3795879076365941,0.30601188116631023,0.18233885432156524,0.21613506153867917,0.4853160251056545,-0.15138954601538115,0.34008561656318725,fx_usdcad(+0.64); xle(-0.54); ovx(+0.53),gvz(+0.30); epu(+0.29); bdiy(-0.27),hy_oas(+0.46); ig_oas(+0.45); mxef(-0.39),hscei(+0.35); csi300(+0.35); shcomp(+0.30),mxef(+0.44); ig_oas(-0.39); fx_usdclp(-0.32)
7,2014-06-16,2015-07-14,2015-08-12,252,21,0.0,1,0.6557556627271146,0.5397267616038024,0.48978953222474647,0.3798971427834354,0.3543892647008045,0.7622748955000128,0.09911964809409189,0.1065395770199602,-0.33127539382989296,0.07234966890636392,fx_usdcad(+0.66); ovx(+0.61); xle(-0.50),ust_10y(+0.45); be_10y(+0.42); epu(+0.38),hy_oas(+0.53); ig_oas(+0.47); mxef(-0.44),tips_10y(+0.27); cny_10y(+0.26); inflsw_5y(-0.24),fx_usdclp(+0.38); epu(-0.29); mxef(-0.28)
8,2014-07-16,2015-08-13,2015-09-16,252,21,0.001,2,0.38105532195451247,0.376155877530808,0.26607156372235163,0.15726690890053777,0.13496768960123626,0.6284649424561431,-0.2145413344472674,-0.29134984881919374,0.27117887424125847,-0.008860144402023635,epu(+0.75); gvz(+0.54); gpr(+0.39),ovx(+0.92); be_5y(-0.38); inflsw_5y(-0.36),gvz(+0.65); epu(-0.36); vix(-0.33),move(+0.74); gpr(-0.61); vix(+0.35),move(+0.71); gpr(+0.58); ust_10y(+0.18)
9,2014-08-14,2015-09-17,2015-10-22,252,21,0.001,1,0.4901273367466756,0.36216420628543383,0.2381846172888229,0.13039343842823578,0.08345847576129192,0.5048037975834921,-0.16875655164392628,-0.347705404771791,-0.1898206865856092,0.03477933302176747,ovx(+0.85); vix(+0.72); mxwo(-0.67),epu(+0.73); gvz(+0.33); gpr(+0.31),gvz(+0.51); epu(-0.46); move(-0.42),gvz(+0.60); move(+0.50); ovx(-0.44),gpr(+0.65); vix(+0.49); spx(-0.46)
