block,horizon,n_origins,n_nonoverlap,r2_vs_ar1,r2_vs_mean,r2_vs_zero,r2_ar1_vs_zero,cw_stat,cw_p,cw_nonoverlap_p,v_full,v_full_boot_lo,v_full_boot_hi,beats_zero
overall,1,2617,2617,-0.026526073471171197,-0.03153042187156396,-0.03512648455826395,-0.008378171104812537,0.24361675201386251,0.4037638264518949,0.4087164102701405,-8.83829952223915e-06,-1.1485707960473705e-05,-6.639409745200749e-06,False
overall,5,2613,523,-0.026056099633036345,-0.039784134920064274,-0.0584983990114063,-0.03161844599917374,-0.07300714593991825,0.5290997844748421,0.47906959574066044,-4.3685844321929334e-05,-5.935593778148077e-05,-3.118532995246123e-05,False
overall,21,2597,124,-0.024521020034453445,-0.1211108464031363,-0.20904630464242402,-0.18010883232221553,-0.9317476275962959,0.8242665168482439,0.7624922536823684,-0.00018172288412134693,-0.00027382082718137665,-0.00011160052146550705,False
overall,63,2555,41,-0.02350603749777247,-0.8919623775870686,-1.479702960715867,-1.422753623201039,-1.5794793904477702,0.9428869299479894,0.25553451865652,-0.0010104858796946559,-0.0019588338192038,-0.0003839136972219341,False
agriculture,1,2619,2619,-0.015556433554730908,-0.020286109053354373,-0.024128298231210765,-0.008440559670796155,0.039033913826121244,0.48443167494271355,0.48404352268501105,-4.581908387268918e-06,-6.312064076370627e-06,-2.988361875821753e-06,False
agriculture,5,2615,523,-0.01595372504565651,-0.032950521784360864,-0.051716413399356176,-0.0352010996879728,-0.1083475476690646,0.5431399965026313,0.0949255189507533,-2.4572464183180223e-05,-4.115906694525066e-05,-1.4215689680989478e-05,False
agriculture,21,2599,124,-0.014535173803270851,-0.10645206518490813,-0.19540448981549052,-0.17827801409208943,-0.003186186426716719,0.5012711023281987,0.5281466572073389,-9.86442535186316e-05,-0.000173427096472979,-4.3515133545037014e-05,False
agriculture,63,2557,41,-0.0057732403993757675,-0.6879163123456282,-1.354299212356648,-1.3407852961188298,0.30260351113900547,0.38109601917781644,0.05068581194344257,-0.00022108842073693957,-0.0005226182388166474,2.118050044636775e-05,False
energy,1,2617,2617,-0.01770659591869106,-0.02530140584172602,-0.029732283841825025,-0.011816458664374085,1.125984742270744,0.13008598881006406,0.1403203619552944,-1.6119023635134742e-05,-3.2644775313471384e-05,-3.6686491210622816e-06,False
energy,5,2613,523,-0.020335642752317584,-0.032000383173787394,-0.05519503236363188,-0.034164629902844856,-0.5693990713454028,0.7154573265427402,0.8748299823072164,-9.002255932612745e-05,-0.000166667752385306,-3.1287831323834635e-05,False
energy,21,2597,124,-0.031525576554344514,-0.16067753271273721,-0.27758530219833766,-0.23853962639096005,-1.1863732342652935,0.8822625314914292,0.7561613244886822,-0.0007787393996829123,-0.0014118557390657008,-0.00026763242110182346,False
energy,63,2555,41,-0.010815929945405811,-1.3894425685733132,-2.1715138465943236,-2.1375780225046683,-0.8738269367673049,0.8088937456625018,0.9629368131800136,-0.0019107631887207432,-0.004283684776613516,-5.318787816294092e-05,False
metals,1,2619,2619,-0.01446971259575558,-0.018574644746440994,-0.02104648861276681,-0.006482969314266729,0.5749104796438989,0.2826759210285301,0.28364129636910373,-3.710101283528253e-06,-5.6768630469249394e-06,-1.9533491562078577e-06,False
metals,5,2615,523,-0.014981287212397998,-0.024828714156854836,-0.039109961391671444,-0.023772531063643187,1.0144763918424278,0.1551777444347765,0.006082514845946352,-1.870431787936674e-05,-2.9098173153161617e-05,-9.367048369942766e-06,False
metals,21,2599,124,-0.008352001556509503,-0.08658143212817748,-0.15559138087872415,-0.14601982154538629,1.2336442552818023,0.10866774724473793,0.3815576067334028,-4.3320320845613436e-05,-6.44426892611323e-05,-2.2687216071442678e-05,False
metals,63,2557,41,-0.003247140592793629,-0.690232328828831,-1.0618619952437114,-1.0551885092096138,0.44447641171333185,0.32834908963121046,0.690783746215785,-8.754265597071473e-05,-0.00026016873329679104,0.00015327632323643812,False
