block,rank,top_macro
overall,V1,xle(+0.32); inflsw_5y(+0.23); be_5y(+0.23); fx_usdcad(-0.22)
overall,V2,fx_usdclp(+0.20); fx_usdzar(+0.15); xle(+0.14); be_5y(+0.14)
overall,V3,ust_10y(+0.08); ust_5y(+0.08); tips_10y(+0.07); hscei(+0.07)
overall,V4,fx_usdbrl(+0.10); fx_usdzar(+0.07); fx_bbdxy(+0.06); inflsw_10y(+0.06)
overall,V5,fx_usdbrl(+0.07); fx_usdcad(+0.06); fx_usdnok(+0.04); fx_usdcnh(+0.04)
agriculture,V1,gpr(+0.09); mxef(+0.08); hscei(+0.07); fx_audusd(+0.06)
agriculture,V2,epu(+0.14); gpr(+0.10); ovx(+0.07); move(+0.07)
agriculture,V3,gpr(+0.10); ovx(+0.09); move(+0.07); fx_usdclp(+0.06)
energy,V1,xle(+0.17); inflsw_5y(+0.14); be_5y(+0.13); inflsw_10y(+0.13)
energy,V2,epu(+0.07); gpr(+0.05); vix(+0.05); xle(+0.04)
energy,V3,epu(+0.08); gpr(+0.06); hy_oas(-0.05); xle(+0.05)
metals,V1,ovx(+0.10); gvz(+0.10); fx_usdclp(+0.09); cny_10y(+0.07)
metals,V2,ust_5y(+0.10); ust_10y(+0.10); ust_2y(+0.09); fx_usdzar(+0.08)
metals,V3,ust_10y(+0.08); ust_5y(+0.08); ust_2y(+0.06); tips_10y(+0.06)
