block,rank,median_abs_cos,q10_abs_cos,q90_abs_cos,null_med_abs_cos,null_p95,chance_abs_cos,p_value,median_rho_oos,frac_windows_rho_oos_ge_0.3,stability_class,macro_stable,n_commodities,n_factors
overall,V1,0.819760251953707,0.5420820848445271,0.9479383844855762,0.11296581150871791,0.1152339070796492,0.13117141378257083,0.004975124378109453,0.5343880753415177,0.832,stable,True,21,5
overall,V2,0.6046196258243526,0.16040367962257532,0.8373728679752837,0.11456251502244347,0.11729609527631855,0.13117141378257083,0.004975124378109453,0.3172850992994389,0.528,partial,False,21,5
overall,V3,0.28025861700114857,0.05001934718356039,0.6635607219480336,0.11934234758660092,0.12159796843039075,0.13117141378257083,0.004975124378109453,0.20019068450942973,0.28,weak,False,21,5
overall,V4,0.2143167184353859,0.03958593950035081,0.5229586153403905,0.11644244685520572,0.11883293741529673,0.13117141378257083,0.004975124378109453,0.184805649956904,0.296,weak,False,21,5
overall,V5,0.1912806554286734,0.033801495743695044,0.4805895645437307,0.11432673304321918,0.11697241951922333,0.13117141378257083,0.004975124378109453,0.17071935999665563,0.224,weak,False,21,5
agriculture,V1,0.38136338714090606,0.06781814234482283,0.8019120603673668,0.11255833046210495,0.1146202484039466,0.13117141378257083,0.004975124378109453,0.17788578207015882,0.264,weak,False,9,3
agriculture,V2,0.23168505467664202,0.04094995107968029,0.5623853453845331,0.11211156095457844,0.11460243214751244,0.13117141378257083,0.004975124378109453,0.16063373051323968,0.152,weak,False,9,3
agriculture,V3,0.22076586386122202,0.04223692839063746,0.538006171324785,0.11205323379285449,0.1142658505996111,0.13117141378257083,0.004975124378109453,0.16819664072153204,0.192,weak,False,9,3
energy,V1,0.777705561348135,0.5083314104397587,0.9220571900330948,0.11270939947208956,0.11483195443524523,0.13117141378257083,0.004975124378109453,0.44053647155263825,0.696,stable,True,5,3
energy,V2,0.27803780464276906,0.0610441470444551,0.6179054004647824,0.11292139442892482,0.11540463530601487,0.13117141378257083,0.004975124378109453,0.1942105102572047,0.304,weak,False,5,3
energy,V3,0.206307958285123,0.035532034052826456,0.4847128974514767,0.11410350230578648,0.11659021661457135,0.13117141378257083,0.004975124378109453,0.16676563374881506,0.192,weak,False,5,3
metals,V1,0.844618516050613,0.5561087933816181,0.9489255499385034,0.11326129840484499,0.11553185398007056,0.13117141378257083,0.004975124378109453,0.4405017651220197,0.744,stable,True,7,3
metals,V2,0.27262140405792057,0.04900241426280707,0.662691358853137,0.1229506092969368,0.12568125850675288,0.13117141378257083,0.004975124378109453,0.1861013731282328,0.168,weak,False,7,3
metals,V3,0.20954834915420253,0.03770346080316523,0.5376690462738264,0.12015330427331625,0.12270229869620902,0.13117141378257083,0.004975124378109453,0.12318455879236438,0.192,weak,False,7,3
