block,horizon,n_origins,n_nonoverlap,r2_vs_ar1,r2_vs_mean,r2_vs_zero,r2_ar1_vs_zero,cw_stat,cw_p,cw_nonoverlap_p,v_full,v_full_boot_lo,v_full_boot_hi,beats_zero
overall,1,2617,2617,-0.03360547607059905,-0.038644336791710865,-0.042265199603989556,-0.008378171104812537,-0.9828209615617817,0.8371522183304185,0.8312557424892428,-1.1197106251786295e-05,-1.4246128590221393e-05,-8.45910018089202e-06,False
overall,5,2613,523,-0.02565172590735032,-0.03937435090854957,-0.05808123961691103,-0.03161844599917374,0.5198185010038858,0.301595041572732,0.12124659718168551,-4.300786842081623e-05,-5.6953354921284604e-05,-3.153565745216835e-05,False
overall,21,2597,124,-0.026464610894299856,-0.12323767518588835,-0.21133995338254974,-0.18010883232221553,-0.9816028052498936,0.8368522175285397,0.8381951685777944,-0.00019612664612255783,-0.00030896041251157595,-0.0001192678997362406,False
overall,63,2555,41,-0.02700093358628397,-0.898422732163193,-1.4881702328770192,-1.422753623201039,-1.5828289974928846,0.9432697772396867,0.37712865904893556,-0.0011607257127067283,-0.0021919081327185725,-0.0003842377980180154,False
agriculture,1,2619,2619,-0.018361878884141092,-0.02310461997478752,-0.026957423089326804,-0.008440559670796155,-0.22273856967643713,0.5881305094582008,0.5914306713675479,-5.4082091868464335e-06,-7.09554343063067e-06,-3.7532139443080393e-06,False
agriculture,5,2615,523,-0.014699146838608845,-0.03167495461861125,-0.05041767265977559,-0.0352010996879728,-0.06501556502762712,0.5259191963125315,0.401711282599334,-2.26401206101616e-05,-2.8815394030453523e-05,-1.667636522149311e-05,False
agriculture,21,2599,124,-0.01470533162491594,-0.10663763930597181,-0.19560498303566098,-0.17827801409208943,-0.11797282653321291,0.5469554056067353,0.1062874412222432,-9.979904475289781e-05,-0.00014016387916679723,-6.265079395502753e-05,False
agriculture,63,2557,41,-0.004033271638410829,-0.6849962489191661,-1.3502263190652752,-1.3407852961188298,1.2373713029845836,0.1079746337672205,0.015599779026311711,-0.00015445566012386308,-0.0002916554406727559,-1.3536901252995135e-05,False
energy,1,2617,2617,-0.0305943150706951,-0.03828530180706058,-0.04277229019446671,-0.011816458664374085,-0.38689772064090017,0.6505840356641917,0.6450963326540113,-2.785123069334427e-05,-5.671499820600597e-05,-9.117599750403186e-06,False
energy,5,2613,523,-0.04446231908033926,-0.05640288189280196,-0.08014598765918612,-0.034164629902844856,-1.3759232233563,0.9155772977759477,0.9196954798064422,-0.0001968274032907516,-0.0004310614902837035,-5.01309962935412e-05,False
energy,21,2597,124,-0.07846096929554891,-0.21348946203564956,-0.3357166459885419,-0.23853962639096005,-1.6073242121668134,0.946008367170384,0.8538228414258411,-0.0019381294430072804,-0.004322300806430417,-0.0004975164723314364,False
energy,63,2555,41,-0.04899111975221171,-1.4796839477259693,-2.291291483137102,-2.1375780225046683,-1.3432038557452701,0.9103970132462325,0.30941003145871804,-0.00865486635631349,-0.021622583107531717,-0.0010973676016485796,False
metals,1,2619,2619,-0.012190981620722185,-0.016286693155034282,-0.018752984694746733,-0.006482969314266729,1.1556899322976408,0.1239040038254905,0.12552735594380882,-3.1258241142797833e-06,-4.5152801928374495e-06,-1.7676499848548757e-06,False
metals,5,2615,523,-0.01101473475630077,-0.020823677902066073,-0.035049113944096044,-0.023772531063643187,1.0557057976834288,0.1455513237783288,0.1298153871038752,-1.375202926943834e-05,-2.0386726949970575e-05,-7.488794843064022e-06,False
metals,21,2599,124,-0.011912770273787121,-0.09041845051691899,-0.1596720924086632,-0.14601982154538629,0.11567557389815737,0.4539548327397731,0.20216154825398358,-6.178938388946148e-05,-0.00010488575089842849,-1.957331032352418e-05,False
metals,63,2557,41,-0.006131379756664668,-0.6950915844215941,-1.0677896504311115,-1.0551885092096138,-0.25388091005546903,0.6002062183633103,0.17584462930276135,-0.00016530151785072722,-0.0003108244064422618,-2.912055437743651e-05,False
