block,rank,top_macro
overall,V1,ovx(+0.17); gvz(+0.10); vix(+0.09); spx(-0.09)
overall,V2,fx_usdzar(+0.13); fx_usdcnh(+0.12); fx_bbdxy(+0.12); fx_dxy(+0.12)
overall,V3,gpr(+0.08); shcomp(+0.06); csi300(+0.06); move(+0.05)
overall,V4,epu(+0.08); gpr(+0.07); ovx(+0.06); ust_5y(+0.06)
overall,V5,gpr(+0.07); ust_5y(+0.05); be_10y(+0.05); csi300(+0.05)
agriculture,V1,gpr(+0.11); epu(+0.10); hy_oas(+0.09); move(+0.08)
agriculture,V2,epu(+0.21); gpr(+0.13); move(+0.11); hy_oas(+0.05)
agriculture,V3,ovx(+0.14); gpr(+0.10); move(+0.09); gvz(+0.09)
energy,V1,xle(+0.49); be_5y(+0.37); inflsw_5y(+0.37); be_10y(+0.29)
energy,V2,gpr(+0.06); epu(+0.06); bdti(+0.06); cny_10y(+0.04)
energy,V3,epu(+0.08); gpr(+0.08); fx_usdbrl(+0.07); fx_usdcnh(+0.07)
metals,V1,fx_usdcnh(+0.13); fx_usdclp(+0.12); fx_bbdxy(+0.11); fx_usdzar(+0.11)
metals,V2,gvz(+0.12); fx_bbdxy(+0.09); fx_dxy(+0.08); move(+0.08)
metals,V3,epu(+0.06); be_10y(+0.05); inflsw_10y(+0.05); be_5y(+0.05)
