block,rank,median_abs_cos,q10_abs_cos,q90_abs_cos,null_med_abs_cos,null_p95,chance_abs_cos,p_value,median_rho_oos,frac_windows_rho_oos_ge_0.3,stability_class,macro_stable,n_commodities,n_factors
overall,V1,0.7107184810683166,0.3264854021246441,0.917727799589267,0.11299471177684492,0.11564776803263947,0.13117141378257083,0.004975124378109453,0.4154413160670633,0.632,stable,True,21,5
overall,V2,0.3429735926344333,0.06947306720435108,0.6849464322701175,0.11849260917516405,0.12101666499685286,0.13117141378257083,0.004975124378109453,0.1821509444536405,0.272,weak,False,21,5
overall,V3,0.25015605579883715,0.046781841801450084,0.5645941821429334,0.11487197043991175,0.1172762917538051,0.13117141378257083,0.004975124378109453,0.20067770913125507,0.232,weak,False,21,5
overall,V4,0.20432763594764217,0.03826649516034758,0.48911721429765326,0.11538893193259894,0.11800341681421098,0.13117141378257083,0.004975124378109453,0.1500361126927302,0.208,weak,False,21,5
overall,V5,0.20344890846798824,0.037147339366045466,0.4707040417009165,0.11373539865298138,0.11619082429444584,0.13117141378257083,0.004975124378109453,0.1638425445921151,0.224,weak,False,21,5
agriculture,V1,0.2516595656385076,0.044823172292212825,0.6475079353536662,0.10843062077254974,0.11099545615452261,0.13117141378257083,0.004975124378109453,0.18571581510962099,0.216,weak,False,9,3
agriculture,V2,0.22576413390976002,0.0402051513222983,0.5482489687546174,0.107961446827508,0.11021450418795985,0.13117141378257083,0.004975124378109453,0.1962896933033854,0.288,weak,False,9,3
agriculture,V3,0.23420417665567353,0.043891335423655364,0.582366057048612,0.11347147334665564,0.11559614000842863,0.13117141378257083,0.004975124378109453,0.1886661832333415,0.192,weak,False,9,3
energy,V1,0.8329100213353242,0.6363097126831372,0.9330897776052827,0.11276915414554137,0.11501007313939025,0.13117141378257083,0.004975124378109453,0.5431324361674615,0.792,stable,True,5,3
energy,V2,0.19665989899750752,0.035521388065366116,0.4937899914678682,0.1135077948214926,0.1156812393934115,0.13117141378257083,0.004975124378109453,0.17833416465736382,0.248,weak,False,5,3
energy,V3,0.20183721813937172,0.03621457523032069,0.5025326547551825,0.12046160965974395,0.12325550440853333,0.13117141378257083,0.004975124378109453,0.17572062438640676,0.208,weak,False,5,3
metals,V1,0.7526080896185868,0.2322793378322192,0.9383665525331364,0.112547183260546,0.11508402440581768,0.13117141378257083,0.004975124378109453,0.3668981841318386,0.648,stable,True,7,3
metals,V2,0.4463622825268708,0.09281025441278519,0.7908788112407937,0.11808004591282456,0.12058987237701206,0.13117141378257083,0.004975124378109453,0.268880685332403,0.424,partial,False,7,3
metals,V3,0.21837104231108773,0.041071164775826695,0.5370721915124183,0.11338879144813535,0.11566801134424988,0.13117141378257083,0.004975124378109453,0.15592815911544147,0.208,weak,False,7,3
