bloc,block,dim1,dim2,dim3,dim4,dim5
china,overall,-0.46001349047664236,-0.14021501172842157,-0.6712693960310944,0.05362662759627121,0.44634020982677625
fx,overall,0.7833501858598505,0.520411104544773,-0.07643326266751999,0.08155343106552689,0.2823515003193263
rates,overall,0.08723941020501053,0.5736560128718126,-0.5603269649878214,-0.4108208370335808,-0.27144943781668185
infl,overall,-0.6444904844479254,0.613895489608111,0.24914234372100652,-0.12161299123282152,0.007826560379049555
credit,overall,0.5069244401280608,-0.29488724518844667,0.29679567002367313,-0.5132659128624537,0.21545444087034266
vol,overall,0.44918177888926186,-0.31801506114643574,0.07874178072174572,-0.3196879351660945,0.0655022500623012
equity,overall,-0.7788305386946389,0.26637768033287895,-0.13730262026981413,0.3172898342527452,0.12635529664656675
freight,overall,-0.00027931674715397323,0.14247915380307308,-0.16170508008154988,0.2521277659564503,-0.3872071043636812
uncert,overall,-0.08469924474569193,0.009503104028605552,0.086119087529718,-0.14051965413716938,0.40260781748519475
china,agriculture,0.42682440056588583,-0.04724219821099369,0.028656619787368852,,
fx,agriculture,-0.7791336272435464,0.29355881999783207,-0.4132961135839859,,
rates,agriculture,0.07769174201916176,0.12856174281531077,-0.4050108135027408,,
infl,agriculture,0.6164590439938284,-0.0450203865996129,-0.434764544072381,,
credit,agriculture,-0.5075357540950306,-0.40849276948668095,-0.24673451386614853,,
vol,agriculture,-0.5350939029969978,-0.7200232506431018,-0.12351235957753608,,
equity,agriculture,0.7694230924556178,0.45978489805427963,0.01588335971022348,,
freight,agriculture,-0.10831771488332309,-0.27481984557580735,0.2769793349549384,,
uncert,agriculture,0.02459276906393375,-0.040000479962555506,-0.417638850764475,,
china,energy,0.23197446500624985,-0.10391070628310817,-0.16259510538681,,
fx,energy,-0.4267563819522673,-0.10954829052525548,0.41432182929724315,,
rates,energy,0.12318452475153441,-0.09848297589190701,0.009147461264510102,,
infl,energy,0.9046317195470942,0.1024752087452117,0.14745504755634503,,
credit,energy,-0.5445771719016257,0.7146954442257177,0.13945449961470946,,
vol,energy,-0.5166421069910723,0.5417908480138173,-0.17492530445821194,,
equity,energy,0.7586077399202447,-0.23746114377574884,-0.026364466307506076,,
freight,energy,0.07748963697709338,-0.06570593004655494,-0.7686269626490171,,
uncert,energy,0.0696551187191974,-0.1621687865430634,0.14860238477009974,,
china,metals,0.5311724511344943,-0.46086102255173456,0.27241096415849786,,
fx,metals,-0.9057731846855783,-0.23923517924601587,0.2895720684248484,,
rates,metals,-0.2614813743252127,-0.78130356241003,-0.29456659629514853,,
infl,metals,0.3693361950657454,-0.41772386950772816,0.28414579415641156,,
credit,metals,-0.3854713626089654,0.493751234088059,0.20035361793872208,,
vol,metals,-0.29982577178803127,0.32462713401498905,0.4981953040849815,,
equity,metals,0.634431176896799,-0.42414310434563013,-0.020073428867074514,,
freight,metals,-0.044301346825496184,-0.21300572909459747,0.038341983159906556,,
uncert,metals,0.054445350376051214,-0.002818529869271924,0.25966581517395426,,
