block,n_commodities,n_factors,dim,rho_insample,rho_oos,perm_p_oos,spanned,top_macro,top_bloc,ridge,n_spanned_block
overall,21,5,dim1,0.6955286907532646,0.641587911882995,0.001996007984031936,True,xle(+0.85); be_5y(+0.66); inflsw_5y(+0.66); fx_usdcad(-0.59),fx(+0.78); equity(-0.78); infl(-0.64),0.0,2
overall,21,5,dim2,0.5541510687467316,0.48728615364406414,0.001996007984031936,True,fx_audusd(+0.66); fx_bbdxy(-0.64); fx_dxy(-0.63); fx_usdclp(-0.57),infl(+0.61); rates(+0.57); fx(+0.52),0.0,2
overall,21,5,dim3,0.29450091914089876,0.19715077483811888,0.001996007984031936,False,tips_5y(+0.55); ust_5y(+0.54); ust_10y(+0.53); tips_10y(+0.49),china(-0.67); rates(-0.56); credit(+0.30),0.0,2
overall,21,5,dim4,0.20374237405373746,0.13046619033985868,0.001996007984031936,False,fx_usdbrl(+0.72); ust_2y(-0.23); tips_10y(-0.22); move(-0.21),credit(-0.51); rates(-0.41); vol(-0.32),0.0,2
overall,21,5,dim5,0.12298554740325686,-0.00031980945359963707,0.5389221556886228,False,ig_oas(-0.43); epu(-0.39); bdiy(+0.31); ovx(-0.22),china(+0.45); uncert(+0.40); freight(-0.39),0.0,2
agriculture,9,3,dim1,0.41538840770851704,0.35780180679066004,0.001996007984031936,True,fx_usdbrl(-0.70); fx_usdcad(-0.65); xle(+0.64); fx_audusd(+0.63),fx(-0.78); equity(+0.77); infl(+0.62),0.0,1
agriculture,9,3,dim2,0.1793587960458406,0.046170223646866446,0.03592814371257485,False,move(-0.57); mxwo(+0.56); spx(+0.47); vix(-0.41),vol(-0.72); equity(+0.46); credit(-0.41),0.0,1
agriculture,9,3,dim3,0.1401013356209966,0.055466781549485165,0.021956087824351298,False,xle(-0.35); fx_usdclp(-0.29); epu(-0.28); inflsw_5y(-0.26),infl(-0.43); uncert(-0.42); fx(-0.41),0.0,1
energy,5,3,dim1,0.6902840385820649,0.6449276026128118,0.001996007984031936,True,xle(+0.84); be_5y(+0.67); inflsw_5y(+0.67); inflsw_10y(+0.55),infl(+0.90); equity(+0.76); credit(-0.54),0.0,1
energy,5,3,dim2,0.23003915702088976,0.06739615539724966,0.005988023952095809,False,ovx(-0.63); ig_oas(-0.51); hy_oas(-0.39); mxwo(+0.38),credit(+0.71); vol(+0.54); equity(-0.24),0.0,1
energy,5,3,dim3,0.12517247589026712,0.017945828010693853,0.2694610778443114,False,bdiy(+0.33); ig_oas(-0.29); ovx(+0.26); fx_dxy(-0.24),freight(-0.77); fx(+0.41); vol(-0.17),0.0,1
metals,7,3,dim1,0.5827477992252837,0.5237976164249931,0.001996007984031936,True,fx_audusd(+0.79); fx_usdnok(-0.69); fx_bbdxy(-0.68); fx_usdclp(-0.65),fx(-0.91); equity(+0.63); china(+0.53),0.0,1
metals,7,3,dim2,0.32007618133817023,0.23450316300253632,0.001996007984031936,False,ust_10y(-0.67); ust_5y(-0.67); ust_2y(-0.58); tips_10y(-0.53),rates(-0.78); credit(+0.49); china(-0.46),0.0,1
metals,7,3,dim3,0.11895820107084049,-0.029945864312383476,0.8982035928143712,False,fx_eurusd(-0.33); gvz(+0.32); ig_oas(+0.26); fx_usdnok(+0.25),vol(+0.50); rates(-0.29); fx(+0.29),0.0,1
