macro,block,dim1,dim2,dim3,dim4,dim5
fx_dxy,overall,-0.19480893813160913,-0.630550705150902,0.32309153469859025,-0.004337345449211499,-0.11571864905412989
fx_bbdxy,overall,-0.30512106800355554,-0.641308304145582,0.3165802555417287,0.07327134018622593,-0.09100917870283591
fx_eurusd,overall,0.14083566233251688,0.5219825874321425,-0.25206050228021876,-0.041355709475852945,0.12822606104951428
fx_usdcnh,overall,-0.2426891458482505,-0.5465916179858487,-0.1799652828268989,-0.0014953960892546837,0.10234376367434295
fx_audusd,overall,0.4467424118062511,0.6626951910075732,-0.0588528477870105,-0.0679513994293223,-0.0025414000242772908
fx_usdbrl,overall,-0.3210133258807508,-0.31358370262545376,0.06275688566108616,0.7216147091369352,-0.13690170083674877
fx_usdclp,overall,-0.3197858115146518,-0.5654169633014942,-0.14619353509268654,0.05330734694384793,-0.14356425502666154
fx_usdcad,overall,-0.5936322840137807,-0.3307067303239428,0.0936269134750036,0.09347775408636258,0.03167414528464033
fx_usdnok,overall,-0.5674982909764419,-0.43711350226605117,0.13569851554126047,-0.02669197750485291,0.03680335610284906
fx_usdzar,overall,-0.3401681094435485,-0.5378032018812761,0.009646796230871595,0.0490914130424926,-0.0146566324867363
ust_10y,overall,0.22156653488195155,-0.3142171569762305,0.5277060262893861,-0.19227031757428317,-0.025763540841248704
ust_5y,overall,0.1790551471336031,-0.3199743757167074,0.5385618735549067,-0.20767217506536859,-0.01673781346963848
ust_2y,overall,0.14338841642329594,-0.3122238055767251,0.4465210798782355,-0.23014858283786072,-0.029327693681883624
tips_10y,overall,-0.07808093829715605,-0.3299940050245252,0.48898670945891326,-0.22124673141292867,0.0799666909725546
tips_5y,overall,-0.2614201495626444,-0.2635319208948926,0.5517689662871647,-0.19570940404236892,0.09745447255820769
be_10y,overall,0.5495662693589547,-0.02361621312883181,0.14099638625468325,0.023806726225362916,-0.1777758643695251
be_5y,overall,0.6625527232921181,-0.0829650288883104,0.006296799667469999,-0.0055786470616669016,-0.11748650434619454
inflsw_5y,overall,0.6621651330618475,-0.09689237177667775,0.02351029622791033,-0.008838003636746425,-0.09304454505477672
inflsw_10y,overall,0.5579021593425223,-0.04647002123266174,0.1423531490515398,0.11123275118574283,-0.1450811779671302
cny_10y,overall,0.12388369463305493,-0.006354742959505454,0.1895074327699578,-0.08771676780453193,0.0456450791034329
hy_oas,overall,-0.44841479683192054,-0.09849692650402901,-0.44506737480081976,-0.08272680891057109,-0.18102164515031532
ig_oas,overall,-0.3563888206230817,-0.0891330976898093,-0.19309901999783516,-0.16912064577960553,-0.42758340042525445
vix,overall,-0.34493776733279774,-0.10794594876612788,-0.18186255958144248,-0.033384423054532285,-0.1060511158789486
move,overall,-0.21450185366116345,-0.1194625338496448,-0.16035346939547537,-0.21298606642404638,-0.09494401262695622
ovx,overall,-0.40257747624532836,0.058541283522139546,0.11710360441075851,-0.14457705288380757,-0.2209169192697396
gvz,overall,-0.15603666768799423,0.07568763277590629,-0.2703575581803184,0.05241075321785945,7.608179091538453e-05
spx,overall,0.4179588241599109,0.15447911069380305,0.20060480700656025,0.13457965180218115,0.05376120514849159
mxwo,overall,0.4782879806767962,0.3081562042791669,0.2240415932079326,0.1510893244129366,0.06470991900178531
mxef,overall,0.3864103268429038,0.49627293411316414,0.3179196599453109,0.02211129270301334,0.13886788139555498
csi300,overall,0.23017913343281945,0.2639223433426071,0.39303895080358164,-0.04017920375139746,-0.04238039357028217
shcomp,overall,0.2380193249416216,0.263829674077919,0.3679240571791792,-0.04250907796642001,-0.051133678193759115
hscei,overall,0.2008918371377515,0.3411049731499826,0.44901588747677523,0.010321920020009966,0.060063713014997744
xle,overall,0.8520268390436102,-0.12513784350504692,0.11284609915805209,0.08432664890226267,0.029097411238466157
bdiy,overall,0.02860571349680762,-0.040689071496071955,0.08157207419297219,0.03049820937123858,0.30644670620444303
bdti,overall,0.010562611998364436,-0.060407663228933206,0.13480301648225418,0.00877130872049811,0.08786216082104667
gpr,overall,0.022694100146953788,0.013402667608889758,0.04421918210557251,0.015167293593703179,0.026343616276729976
epu,overall,0.08249177501937746,0.03415767708463459,-0.1063933431148061,0.011593835420160497,-0.385875216830409
fx_dxy,agriculture,-0.3643666013707014,-0.014182494572423689,-0.17899031723957456,,
fx_bbdxy,agriculture,-0.5020482046595897,-0.024727687450338584,-0.1534386807148599,,
fx_eurusd,agriculture,0.31434413963876967,0.03015433940287353,0.17334090885956124,,
fx_usdcnh,agriculture,-0.37942714309799613,0.022054821885013717,0.02119522039621797,,
fx_audusd,agriculture,0.627064301973196,0.025933340741443957,0.1405542230340996,,
fx_usdbrl,agriculture,-0.7023340953376701,0.11191698875183212,-0.17695839290528448,,
fx_usdclp,agriculture,-0.4863005386277009,-0.0527065638933504,-0.2896073735518623,,
fx_usdcad,agriculture,-0.6470540813041394,-0.01799688179857141,0.11274839106359402,,
fx_usdnok,agriculture,-0.5986512237535103,-0.0441739290530509,0.10826734760807177,,
fx_usdzar,agriculture,-0.5023011302324675,-0.10933638943297307,-0.062003585089514514,,
ust_10y,agriculture,0.20209822508507513,0.10666877841801829,-0.25199932532988806,,
ust_5y,agriculture,0.16528289379543307,0.11159025675680877,-0.23340293746636834,,
ust_2y,agriculture,0.1531600541377169,0.14082180050847246,-0.22276791045497607,,
tips_10y,agriculture,-0.05892585948688298,0.005285643616734139,-0.13189342111189437,,
tips_5y,agriculture,-0.20495805265775577,0.04996499745806959,-0.054973425149512124,,
be_10y,agriculture,0.47773781445607666,0.19783062356937836,-0.24874732726158627,,
be_5y,agriculture,0.5510643149290917,0.08803081104034229,-0.22544926369973384,,
inflsw_5y,agriculture,0.5213704725619762,0.029304583260336258,-0.256066754032079,,
inflsw_10y,agriculture,0.4318244459302172,0.16964447269884328,-0.24543046051338283,,
cny_10y,agriculture,0.1449322283705996,-0.15565662884693754,0.1292803092929845,,
hy_oas,agriculture,-0.44890809555783373,-0.37554029561688573,0.014605894141620236,,
ig_oas,agriculture,-0.3214988540634053,-0.33643917108116966,-0.11370502469300227,,
vix,agriculture,-0.3970551921593254,-0.412222393643149,0.03768298322577895,,
move,agriculture,-0.2401053034520076,-0.5694990379290691,-0.03807518056558806,,
ovx,agriculture,-0.306303978594575,-0.17904937267655716,-0.21802995244820514,,
gvz,agriculture,-0.20478366433895254,-0.3508875524976295,0.20547037322863043,,
spx,agriculture,0.42245632847277415,0.472493957329113,-0.0590480915214439,,
