bloc,block,dim1,dim2,dim3,dim4,dim5
china,overall,0.4496474252701162,-0.12847098469205798,-0.08447721229867097,0.7905474277333492,-0.038753258758790037
fx,overall,-0.7477285786296449,0.572707255966857,0.02565959213248836,0.18667708420015883,-0.038508585853373765
rates,overall,-0.0450124931318724,0.6274941588623513,-0.012259480759941719,-0.015470747390261741,-0.14014361220793395
infl,overall,0.6917964482532081,0.5470042336922116,0.09849836232025043,-0.03606670782015609,-0.2977451394483283
credit,overall,-0.5280540140918325,-0.3075255512455619,0.4583784748701511,0.03730118337191626,-0.3856689514768208
vol,overall,-0.471134880636866,-0.28930334342723174,0.33421523905045597,-0.11320031657233931,-0.2850182471017133
equity,overall,0.785822161494336,0.22222056849042032,-0.10801259737494258,-0.06258626533436541,0.4214220474072697
freight,overall,-0.0009060038214204613,0.1513671585003384,0.008582305120056853,0.26265049977981053,0.41819133079753457
uncert,overall,0.04973547120171538,0.02701616076758112,0.7609775205872663,0.173316453213201,0.3805028015789344
china,agriculture,0.4272650355839506,-0.17691230525270968,0.203934236566268,,
fx,agriculture,-0.7995156156544654,0.24420644881021772,-0.22704584974371944,,
rates,agriculture,0.04493704920438681,0.21859063948903623,0.003026305803819837,,
infl,agriculture,0.6327971600262667,0.1854656850369927,-0.24641662122411911,,
credit,agriculture,-0.42163101739330344,-0.5150736683098055,-0.5855304643994164,,
vol,agriculture,-0.4102302868517701,-0.45870509762082395,-0.05333658627857534,,
equity,agriculture,0.7006824642941318,0.5780931934985056,0.24930676127479473,,
freight,agriculture,-0.09014527459531123,-0.273783610519668,0.5270964314312584,,
uncert,agriculture,0.0577077381040377,0.2778043285989713,-0.12767076417544596,,
china,energy,0.20883829114760516,0.09806636585419333,-0.02314827731964856,,
fx,energy,-0.3535790564452151,-0.07962779913209447,-0.28180048599987484,,
rates,energy,0.13097534275758882,-0.14513995341277533,-0.2237768659695849,,
infl,energy,0.7783361424394027,-0.0478070811072019,0.042357617138366686,,
credit,energy,-0.7204697943113286,0.034324434565125295,0.513481301465391,,
vol,energy,-0.4648978507074208,0.30226533177717085,0.5280637668471122,,
equity,energy,0.8346060952253325,0.05532781998758321,-0.0366843384678848,,
freight,energy,0.1776967310460682,0.028476016905970583,-0.0033428770516414365,,
uncert,energy,-0.022730689987678212,0.8819638705156423,-0.33543826504338087,,
china,metals,-0.5198669490826237,0.11218855280605516,-0.07256028926264114,,
fx,metals,0.9119486107806146,0.11986288997994604,-0.10912188434485733,,
rates,metals,0.2548135695267707,0.3221429623335182,0.6679840754874224,,
infl,metals,-0.3682805112923693,0.08166118953315642,0.16047144515303352,,
credit,metals,0.3764700170126773,-0.09711312047076533,-0.10138596709334942,,
vol,metals,0.2968378453411342,0.29272010962913414,-0.5619049101927548,,
equity,metals,-0.6299932808758344,0.07945314008305383,0.18736912576913012,,
freight,metals,0.03674077087026297,0.19492520627362747,0.13499855579768355,,
uncert,metals,-0.07290114220325315,0.8157111956400753,0.07974097833071776,,
