block,n_commodities,n_factors,dim,rho_insample,rho_oos,perm_p_oos,spanned,top_macro,top_bloc,ridge,n_spanned_block
overall,21,5,dim1,0.6871500554197993,0.634015055083339,0.001996007984031936,True,xle(+0.85); be_5y(+0.67); inflsw_5y(+0.66); fx_usdcad(-0.59),equity(+0.79); fx(-0.75); infl(+0.69),0.0,2
overall,21,5,dim2,0.5125331437539141,0.44268099832995417,0.001996007984031936,True,fx_bbdxy(+0.69); fx_dxy(+0.68); fx_audusd(-0.66); fx_eurusd(-0.57),rates(+0.63); fx(+0.57); infl(+0.55),0.0,2
overall,21,5,dim3,0.25979430755346866,0.03830663835920932,0.06786427145708583,False,epu(+0.49); ig_oas(+0.49); hy_oas(+0.37); gpr(+0.36),uncert(+0.76); credit(+0.46); vol(+0.33),0.0,2
overall,21,5,dim4,0.16316211028597427,0.0009665916811415646,0.437125748502994,False,mxef(-0.37); hscei(-0.31); gvz(+0.30); csi300(-0.29),china(+0.79); freight(+0.26); fx(+0.19),0.0,2
overall,21,5,dim5,0.13500120815061198,0.06172763287066135,0.003992015968063872,False,fx_usdbrl(-0.52); hscei(-0.28); move(+0.23); gpr(-0.21),equity(+0.42); freight(+0.42); credit(-0.39),0.0,2
agriculture,9,3,dim1,0.38526535568691544,0.32941986906354814,0.001996007984031936,True,fx_usdbrl(-0.72); fx_usdcad(-0.63); xle(+0.61); fx_audusd(+0.58),fx(-0.80); equity(+0.70); infl(+0.63),0.0,1
agriculture,9,3,dim2,0.17001830148876879,0.05736005904547009,0.013972055888223553,False,xle(+0.53); spx(+0.53); mxwo(+0.51); hy_oas(-0.42),equity(+0.58); credit(-0.52); vol(-0.46),0.0,1
agriculture,9,3,dim3,0.14680591561492007,0.051813926339096296,0.021956087824351298,False,ig_oas(-0.43); xle(+0.38); fx_usdcnh(-0.34); fx_usdnok(-0.30),credit(-0.59); freight(+0.53); equity(+0.25),0.0,1
energy,5,3,dim1,0.5465397535267845,0.4223399104072446,0.001996007984031936,True,xle(+0.87); inflsw_5y(+0.64); be_5y(+0.63); inflsw_10y(+0.54),equity(+0.83); infl(+0.78); credit(-0.72),0.0,1
energy,5,3,dim2,0.24705127482414346,0.047267481708970785,0.02594810379241517,False,hy_oas(-0.48); ig_oas(-0.47); ovx(-0.43); mxwo(+0.40),uncert(+0.88); vol(+0.30); rates(-0.15),0.0,1
energy,5,3,dim3,0.19009175038185225,0.04437972378709023,0.03792415169660679,False,epu(+0.63); gpr(+0.62); ig_oas(-0.18); hy_oas(-0.16),vol(+0.53); credit(+0.51); uncert(-0.34),0.0,1
metals,7,3,dim1,0.5922358873788309,0.5432048177684174,0.001996007984031936,True,fx_audusd(-0.80); fx_bbdxy(+0.68); fx_usdnok(+0.68); fx_usdclp(+0.65),fx(+0.91); equity(-0.63); china(-0.52),0.0,1
metals,7,3,dim2,0.2795399773404909,0.1356020277317041,0.001996007984031936,False,epu(+0.66); gvz(+0.48); gpr(+0.32); fx_dxy(+0.25),uncert(+0.82); rates(+0.32); vol(+0.29),0.0,1
metals,7,3,dim3,0.17733008787687607,0.051031385156041074,0.02594810379241517,False,gvz(-0.41); ust_10y(+0.36); tips_10y(+0.34); ust_5y(+0.33),rates(+0.67); vol(-0.56); equity(+0.19),0.0,1
