encoder,n_factors,relation,true_rank,snr,recon_r2,span_mean_r2,span_max_r2,canon_min,canon_mean,kcca_min,kcca_mean,subspace_min,n_active,nonlin_premium
relu,2,linear,3,6.0,0.6166187817313167,0.9369384161280483,0.940358311031958,0.961737307274824,0.9663369940766893,0.8965796401228698,0.9226694316773253,0.9521449786703904,2,
relu,3,linear,3,6.0,0.8299646660501568,0.9251830949215689,0.9338603777854569,0.949452727136311,0.9635605002621856,0.9325514972350374,0.9449443073046552,0.9288983929293695,3,
relu,4,linear,3,6.0,0.8554977699410554,0.8004732729385952,0.9220083159062021,0.9518071878473389,0.9667423578685597,0.9408526041839244,0.9523755476229775,0.9493029321578642,4,
relu,6,linear,3,6.0,0.8904744392620321,0.6639906164546577,0.7805330155384427,0.9511657892864404,0.9676080384914325,0.9474917508644058,0.9564071324105279,0.9443109509527016,6,
linear,2,linear,3,6.0,0.6346992437797474,0.9494053667924467,0.951912026993867,0.9694751535344474,0.9741256398917238,0.916742813489709,0.93158005293132,0.9521803749213684,2,
linear,3,linear,3,6.0,0.8427172997388106,0.9415373377042541,0.949013323274798,0.9529009208741616,0.9674456136233576,0.9365885885023476,0.946158193407202,0.9363861266388493,3,
linear,4,linear,3,6.0,0.8668380274968176,0.8983021289191175,0.9418869177544414,0.9518315586505345,0.9679493697605525,0.9435681567032077,0.9532623781434749,0.937164582035494,4,
linear,6,linear,3,6.0,0.9213434962868443,0.850869716062557,0.883849434103875,0.9537601351898136,0.9688585473905381,0.9487300596331706,0.9575135608170865,0.942403252821163,6,
pca,2,linear,3,6.0,0.6350360889142852,0.9496582746331619,0.9526273041593024,0.9694164571225833,0.9744909053492277,0.9172417367146389,0.9320320103139453,0.9525053195903505,2,
pca,3,linear,3,6.0,0.8429834638731992,0.9362764109318747,0.9526273041593024,0.9526098476419728,0.9675466374109633,0.9361127848955262,0.9478360298193739,0.9353827322432218,3,
pca,4,linear,3,6.0,0.8756533978786232,0.703074364348796,0.9526273041593024,0.9526310060669849,0.9681365638897524,0.9394848642599645,0.9516007531289414,0.9361156224721086,4,
pca,6,linear,3,6.0,0.9253644935771503,0.4702424143446053,0.9526273041593024,0.9543549629878528,0.9697119470711892,0.9410736027398873,0.9529801199254689,0.9408923914727252,6,
