encoder,n_factors,relation,true_rank,snr,recon_r2,span_mean_r2,span_max_r2,canon_min,canon_mean,kcca_min,kcca_mean,subspace_min,n_active,nonlin_premium
relu,3,linear,3,1.0,0.559160543133923,0.7264300779588444,0.7431032580121901,0.7996336066076054,0.8598245242784555,0.8226717815221735,0.8540744187555401,0.9271283082515978,3,
linear,3,linear,3,1.0,0.5710802506018466,0.775318845229021,0.7926893678264505,0.8053820133357851,0.8640473850659607,0.8329179526066148,0.8605070832632672,0.9460061568959599,3,
pca,3,linear,3,1.0,0.5724816066573128,0.7498510901725313,0.8372524711131557,0.8083769856480367,0.8648223832076315,0.828863864026672,0.8595945194903023,0.9503141547579776,3,
relu,3,linear,3,2.0,0.6734963215830295,0.8306862006127521,0.8444490324099425,0.8802985672481742,0.9162407401203998,0.8778257804391613,0.9008293970386457,0.9323734077826018,3,
linear,3,linear,3,2.0,0.6852085282759639,0.8636996415133366,0.8744357576725696,0.8826706892769772,0.919299282072534,0.8876352575376927,0.9060615279454654,0.9437217965105553,3,
pca,3,linear,3,2.0,0.6860730480571731,0.8460620395221653,0.9008566802957843,0.8832452347780779,0.9193956421777809,0.8835212302921011,0.9052779179137312,0.9441070668785563,3,
relu,3,linear,3,4.0,0.7785878718398078,0.8983184774137554,0.9091194012996328,0.9301427785768667,0.9504491180893636,0.9156021504471391,0.9317331067737281,0.9306114018786219,3,
linear,3,linear,3,4.0,0.7913049946400572,0.9196037236172593,0.9286338015371748,0.9329564163271261,0.95395644491539,0.9225428517343687,0.9346639547481669,0.9389929531164296,3,
pca,3,linear,3,4.0,0.7914626991015259,0.9104554888230192,0.9379793588668492,0.932897334957307,0.9540411208772088,0.9204938037619204,0.9353177622948126,0.9382037543812396,3,
relu,3,linear,3,8.0,0.860774301606643,0.9397683864182715,0.9471287299013698,0.9597615780612277,0.9705843332752634,0.9424953824413204,0.9525409026799996,0.9277014903457337,3,
linear,3,linear,3,8.0,0.8735234842942379,0.9536839698131575,0.9599530105906108,0.9637943355844569,0.9747685643816565,0.9446590780568972,0.9527389855306955,0.9348593329668082,3,
pca,3,linear,3,8.0,0.8738693860299813,0.9504024300975483,0.9613624054931752,0.9633096576035407,0.9748461041515721,0.9452852525438548,0.9550969052399864,0.9337288418339349,3,
relu,3,linear,3,16.0,0.9158901566634443,0.9636230977801586,0.9684127740081638,0.9762021338211463,0.9819110131691903,0.9597068798446279,0.9657335098379116,0.9255152862008901,3,
linear,3,linear,3,16.0,0.9287148237930027,0.974476958351057,0.9779532031668918,0.9814606072224547,0.9867220467137892,0.9596427132154366,0.9649899993169534,0.9321316958848391,3,
pca,3,linear,3,16.0,0.9291789146880557,0.9735874789712727,0.9800622560222072,0.9806784573457203,0.9866946360268368,0.9624242132399362,0.9681633813303535,0.9308595934757865,3,
