n_factors,lr,weight_decay,epochs,beta,train_mse,test_mse
8,0.005,0.0,300,0.3,0.4420033124273421,0.5064631164192143
8,0.005,0.0001,300,0.3,0.44410940627099793,0.5077043956293484
9,0.005,0.0,300,0.3,0.4439782898100872,0.5211503118416301
9,0.005,0.0001,300,0.3,0.44640766054622494,0.5216551668589814
8,0.005,0.0,300,0.5,0.45403996767244426,0.5224396011462629
8,0.005,0.0001,300,0.5,0.45679416385612404,0.5241265233934695
9,0.005,0.0,300,0.5,0.4549831883610513,0.527142058742982
9,0.005,0.0001,300,0.5,0.4570644315314089,0.5297980088103311
8,0.005,0.0,200,0.3,0.4601063997449584,0.5338465272667583
8,0.005,0.0001,200,0.3,0.46267649416991424,0.537318509050475
9,0.005,0.0,300,0.8,0.4790752476018758,0.5406216931396906
9,0.005,0.0001,300,0.8,0.4823215045176347,0.5451470210788472
7,0.005,0.0,300,0.3,0.4761183154371088,0.5453306482216684
9,0.005,0.0,200,0.3,0.46498268115771035,0.5470806705618431
7,0.005,0.0001,300,0.3,0.47761078845653365,0.547874908808931
9,0.005,0.0001,200,0.3,0.4681020786175617,0.5507772302854707
9,0.005,0.0,200,0.5,0.47438578097139655,0.5557008384100354
7,0.005,0.0,300,0.5,0.4856287997844323,0.5560518124500287
7,0.005,0.0001,300,0.5,0.4874082679146163,0.5587571647983268
8,0.005,0.001,300,0.3,0.49140875638307496,0.559657231707643
7,0.005,0.0,200,0.3,0.4886077355568569,0.5605759026372032
9,0.005,0.0001,200,0.5,0.4795383442130979,0.5624812773569553
7,0.005,0.0001,200,0.3,0.48980919240101395,0.562486096899227
7,0.005,0.001,300,0.3,0.4934005668201262,0.5685031776379688
8,0.005,0.0,200,0.5,0.4935301201462765,0.5698750554224604
9,0.005,0.001,300,0.3,0.49081241955949134,0.5712964209788354
8,0.005,0.0001,200,0.5,0.49676615031435944,0.5729600561378413
8,0.005,0.001,300,0.5,0.5021746652264449,0.5745142426241489
8,0.005,0.001,200,0.3,0.4986999781568198,0.5745639477877871
8,0.005,0.0,300,0.8,0.5027393761220547,0.574647656734951
7,0.005,0.0,200,0.5,0.500823973940407,0.5760497064355579
8,0.005,0.0001,300,0.8,0.5048404703581286,0.5779739615564282
7,0.005,0.0001,200,0.5,0.502906227675721,0.5786667604177148
7,0.005,0.0,300,0.8,0.5084348708851759,0.5793357506423353
7,0.005,0.0001,300,0.8,0.5112774134802234,0.5839953032669877
9,0.005,0.001,200,0.3,0.5022840233424317,0.5844182654498891
9,0.005,0.001,300,0.5,0.5034829672629,0.5870116295766873
8,0.005,0.001,200,0.5,0.5089557123885544,0.5872213286078773
9,0.005,0.0,300,1.0,0.5202675679095625,0.5877469148073697
6,0.005,0.0,300,0.3,0.5131492478379187,0.5889177530604478
6,0.005,0.0001,300,0.3,0.5142656454192617,0.5903652052562954
9,0.005,0.0,200,0.8,0.5158736831442097,0.5930334239236416
6,0.005,0.0,300,0.5,0.5213418688623255,0.5931941000194106
8,0.005,0.0,300,1.0,0.5203475811668495,0.5936613096799445
8,0.005,0.0,200,0.8,0.5153785209073121,0.5939609910207457
9,0.005,0.0001,300,1.0,0.5249410401848079,0.5946004517711404
6,0.005,0.0001,300,0.5,0.5226647045201772,0.595203427216554
8,0.005,0.0001,200,0.8,0.5167125086980907,0.5956762438970706
8,0.005,0.0001,300,1.0,0.5225903702314996,0.5974270099961955
6,0.005,0.001,300,0.3,0.5284983151053769,0.5975264811597084
9,0.005,0.001,200,0.5,0.516548978320464,0.6008658951026247
7,0.005,0.001,200,0.3,0.5283623950006795,0.6018020578578264
9,0.005,0.0001,200,0.8,0.5233077597055235,0.6019894797185448
6,0.005,0.0,200,0.3,0.5233924293369843,0.6023974989452099
6,0.005,0.0001,200,0.3,0.5241578197621558,0.602937147684911
8,0.005,0.001,300,0.8,0.5228603809024003,0.6059087034779838
6,0.005,0.0,200,0.5,0.5313810512551105,0.6092279410763095
7,0.005,0.001,300,0.5,0.532735659103858,0.6101771981448066
6,0.005,0.0001,200,0.5,0.5323264105448521,0.6104033314559464
8,0.005,0.0,200,1.0,0.5331376655091865,0.6118904619844242
5,0.005,0.0,300,0.3,0.5493740911756053,0.6129807698680064
7,0.005,0.001,200,0.5,0.5391894847301036,0.6134377719268188
8,0.005,0.0001,200,1.0,0.5351507222342115,0.6142770496213714
5,0.005,0.0001,300,0.3,0.5505289307174953,0.614312407591142
7,0.005,0.0,300,1.0,0.5449886885397313,0.6147582292353323
6,0.005,0.0,300,0.8,0.5364587306614355,0.6150474982330095
7,0.005,0.0,200,0.8,0.5436776072729602,0.615325900281564
5,0.005,0.0,300,0.5,0.5550863372422108,0.6167271968851628
6,0.005,0.0001,300,0.8,0.5380427942882855,0.6176272327149609
7,0.005,0.0001,200,0.8,0.5458794053028406,0.6178969192259088
5,0.005,0.0001,300,0.5,0.556122909379383,0.6184242618793667
7,0.005,0.0001,300,1.0,0.5507480751677831,0.6206481522747772
9,0.005,0.0,200,1.0,0.5421229216772198,0.6208810665153343
5,0.005,0.0,200,0.3,0.5573170445311696,0.6223342271413782
5,0.005,0.0001,200,0.3,0.5580246569879233,0.6233614303987309
9,0.005,0.0001,200,1.0,0.5448051783957507,0.624568200978509
5,0.005,0.001,300,0.3,0.5600315266627192,0.6269153030846779
7,0.005,0.001,300,0.8,0.5533687982272925,0.6286157459250251
5,0.005,0.0,200,0.5,0.5634831163824994,0.6296773744118384
6,0.005,0.0,300,1.0,0.5500161269532721,0.6300238127101717
8,0.005,0.001,200,0.8,0.5520047000105323,0.6303237967829629
5,0.005,0.0001,200,0.5,0.5642436001051953,0.6308516710785427
9,0.005,0.001,300,0.8,0.5495818978304183,0.6315415496227186
5,0.005,0.0,300,0.8,0.5661005354813172,0.6315549631831431
5,0.005,0.001,200,0.3,0.5648899275855379,0.6333889974208248
5,0.005,0.0001,300,0.8,0.567303100609159,0.6337980263787674
6,0.005,0.0001,300,1.0,0.5520513568425509,0.633809286677375
6,0.005,0.0,200,0.8,0.5527230750343869,0.6352590679534235
5,0.005,0.001,300,0.5,0.5661841334492476,0.6359756318033981
7,0.005,0.0,200,1.0,0.5624002940678233,0.6368503517371263
6,0.005,0.001,200,0.3,0.5646112666694197,0.6385215409964693
6,0.005,0.001,300,0.5,0.5673798351091403,0.6391383122541993
7,0.005,0.0001,200,1.0,0.5651315539093091,0.6402537064899542
8,0.005,0.0,100,0.3,0.5462861851959684,0.6408788903737195
8,0.005,0.0001,100,0.3,0.5484268607813578,0.6424015150023107
5,0.005,0.001,200,0.5,0.571559421413481,0.6424098224264623
9,0.005,0.001,200,0.8,0.5616122190132722,0.6425636460961232
5,0.005,0.0,300,1.0,0.5759186871917595,0.6452298627857571
5,0.005,0.0,200,0.8,0.5746852069538821,0.6452943670453427
6,0.005,0.0001,200,0.8,0.5671737307837489,0.6465562675339525
5,0.005,0.0001,200,0.8,0.575610135894073,0.6466821218413854
9,0.005,0.0,100,0.3,0.5583042003138161,0.6468481765128803
6,0.005,0.001,200,0.5,0.5720197606802747,0.6470913377240873
5,0.005,0.0001,300,1.0,0.5771737423365259,0.6474398610882653
9,0.005,0.0001,100,0.3,0.5601449586350025,0.6486295104910383
8,0.005,0.0,100,0.5,0.557326082195445,0.6496023995416235
8,0.005,0.001,300,1.0,0.5670167577467586,0.6504941217220269
8,0.005,0.0001,100,0.5,0.5596323420923595,0.6514733378752351
9,0.005,0.001,300,1.0,0.5733695643758188,0.6523216899348012
8,0.005,0.001,200,1.0,0.5738468099918418,0.6524526451308448
5,0.005,0.001,300,0.8,0.5788374315439283,0.6544452118415296
9,0.005,0.0,100,0.5,0.567791554096959,0.6561419241617761
9,0.005,0.0001,100,0.5,0.5702111859454049,0.6582090710471863
4,0.005,0.0,300,0.3,0.5895706731473612,0.6582804161326793
5,0.005,0.0,200,1.0,0.5845985878171046,0.6589445802460905
8,0.005,0.001,100,0.3,0.5693530668094636,0.659506514390519
4,0.005,0.0001,300,0.3,0.5904507954530621,0.6597368588953098
6,0.005,0.001,300,0.8,0.5809770106480124,0.6599068186245639
5,0.005,0.001,200,0.8,0.5842712045475694,0.6604507849510045
5,0.005,0.0001,200,1.0,0.5856423395949275,0.660495547900074
7,0.005,0.001,200,0.8,0.580299803249793,0.6630712540657596
4,0.005,0.0,300,0.5,0.5940887965400554,0.6645636488726567
6,0.005,0.0,200,1.0,0.5849254888876048,0.6650495981999311
4,0.005,0.0001,300,0.5,0.5952607591230127,0.6660791223182622
9,0.005,0.001,200,1.0,0.5852410379919984,0.6676446462521515
6,0.005,0.0001,200,1.0,0.5878327810271502,0.6680560318332931
9,0.005,0.001,100,0.3,0.5826631552566263,0.668341065160472
6,0.005,0.001,200,0.8,0.5865404132567764,0.6692676470442651
5,0.005,0.001,300,1.0,0.5897955969438831,0.669275468883817
4,0.005,0.001,300,0.3,0.5980733734458614,0.672953207447774
4,0.005,0.0,200,0.3,0.6014303386118334,0.6735947800642625
4,0.005,0.0001,200,0.3,0.6016199960114337,0.6741049350091914
4,0.005,0.0,300,0.8,0.6023788465387367,0.6757663261897361
5,0.005,0.001,200,1.0,0.5954124050444521,0.6763679023102203
8,0.005,0.001,100,0.5,0.5856579980744524,0.6769570383628098
4,0.005,0.0001,300,0.8,0.603334232572191,0.6772312050723371
7,0.005,0.001,300,1.0,0.5905580480420668,0.6781142058925317
9,0.005,0.001,100,0.5,0.5929447692927876,0.6786944532610668
8,0.005,0.0,100,0.8,0.5859791549068112,0.6790903376918976
4,0.005,0.001,300,0.5,0.6027521623581223,0.6792576553645941
7,0.005,0.0,100,0.3,0.5840120297282066,0.6796394499446067
4,0.005,0.0,200,0.5,0.6045080471408475,0.6801457512928237
4,0.005,0.0001,200,0.5,0.6049145648493478,0.6807882025755908
7,0.005,0.0001,100,0.3,0.5852775662313183,0.6811368893763057
4,0.005,0.001,200,0.3,0.6054366921387128,0.6815892189637327
8,0.005,0.0001,100,0.8,0.5889986949528119,0.6822807070972706
5,0.005,0.0,100,0.3,0.6047711405929586,0.682533746466589
5,0.005,0.0001,100,0.3,0.6052392899429329,0.6829887271631413
9,0.005,0.0,100,0.8,0.5931184677487795,0.683361334437902
9,0.005,0.0001,100,0.8,0.595069572180471,0.6852958193539501
4,0.005,0.0,300,1.0,0.6093706355626523,0.685379990633055
7,0.005,0.0,100,0.5,0.5899756331528062,0.6867784320882337
4,0.005,0.0001,300,1.0,0.610380168142498,0.6869878634175492
