date,F1,F2,F3,F4,F5,F6
2013-10-21,0.34621465,0.21173954,-0.0220072,-0.20433472,0.6588482,-0.5064881
2013-10-22,0.99174863,0.21047804,0.45345336,0.2639694,1.384791,-1.1711347
2013-10-23,-0.56659883,-1.1460059,-0.2524375,-1.1935083,-1.1416987,-0.19857362
2013-10-24,0.09172913,-0.55594015,0.21591331,0.49143228,1.0530949,-0.6826678
2013-10-25,-0.23098803,0.11929085,-0.26905313,0.0048443307,0.57031125,0.104131594
2013-10-28,-0.45940477,-0.21477625,-0.34046182,0.75120884,1.6295303,0.6108035
2013-10-29,-0.20897116,0.2873796,-0.3262637,-0.46090868,-0.13784976,0.16749904
2013-10-30,0.58952475,0.21848592,0.37710005,0.8074654,0.3950803,-0.3281816
2013-10-31,-1.3303933,-0.514207,-1.0789716,-1.095801,-0.590817,1.2045984
2013-11-01,-0.09303564,-0.53223664,-0.22465235,-1.5848931,0.07338078,-0.6473237
2013-11-04,-0.48034054,-1.1511554,-0.2129666,-0.24961816,-0.15673868,0.028540501
2013-11-05,-0.32607606,-0.21613114,-0.36878714,-0.42201158,0.18824987,0.0773561
2013-11-06,-0.04632396,-0.610387,0.04372334,0.57226753,0.20208022,-0.15893972
2013-11-07,-0.09027916,-0.074558504,-0.2446277,-0.88598084,-0.31715906,-0.30267853
2013-11-08,-0.55432117,0.73782337,-0.71473134,-0.0943512,-0.81662315,1.0802536
2013-11-11,-0.47990677,0.15220909,-0.17158587,0.35036498,-0.70875436,0.50828445
2013-11-12,-0.28358436,-0.1815121,-0.39025238,-0.5109828,-0.82139033,0.10608162
2013-11-13,-0.6837327,-0.19342886,-0.66761255,-0.05101561,-0.2084929,0.93207467
2013-11-14,-0.067592114,-0.59268135,0.35554406,0.9624509,1.1106921,-0.2484647
2013-11-15,-0.36041048,-0.45555192,-0.08129924,0.32102048,0.9546645,-0.09379442
2013-11-18,-0.9223904,-0.4824967,-0.815335,-0.7644686,-0.1588896,0.85699797
2013-11-19,0.34334576,0.6101657,-0.019188305,-0.4952925,0.5339912,-0.3657331
2013-11-20,-0.7999344,0.056223694,-0.45442745,0.06052878,-0.9183067,0.95028293
2013-11-21,-0.23112902,0.9375664,-0.112351276,0.64092225,-1.1344318,0.9769484
2013-11-22,0.12503158,0.78896564,-0.32807395,-0.0734645,0.11181389,0.22980012
2013-11-25,-0.022069009,0.17058104,-0.12164879,-0.33313018,-0.44227532,-0.37933224
2013-11-26,-0.3494793,-0.5428339,-0.18843326,0.20041381,-0.040927645,0.18569078
2013-11-27,-0.66145605,-0.7577184,-0.31009215,-0.2578509,-0.42555502,0.4813311
2013-11-29,0.91864103,0.34614068,0.568743,0.4825168,0.08663299,-1.0066887
2013-12-02,-1.3560569,0.17802759,-1.1178052,-0.65889984,-0.4000714,1.5325167
2013-12-03,-0.29345506,0.07600433,-0.23608491,0.22410433,-0.45784357,0.44959226
2013-12-04,1.3090101,0.6034577,0.8383489,0.72761184,1.0569062,-1.3551195
2013-12-06,-0.4549275,0.71484435,-0.873615,-0.8013447,-0.0991388,0.8550149
2013-12-09,0.8180819,0.7390743,0.25561774,-0.44130105,0.17737474,-1.0558593
2013-12-10,0.8141694,-0.43834826,0.8518148,1.1666139,0.78003025,-1.2270757
2013-12-11,0.2596756,1.063826,-0.13009785,-0.12055398,-0.096408494,-0.18198489
2013-12-12,-1.4702227,-0.31590474,-1.2898269,-1.034755,0.05817963,1.1669484
2013-12-13,0.22238043,-0.2603342,0.07064743,0.21990466,1.0985019,-0.594252
2013-12-16,-0.39320084,-0.30045637,0.61209685,1.316319,0.5370441,-0.31020212
2013-12-18,-0.45083135,0.22214934,-0.8252911,-0.638221,0.52513516,0.6259407
2013-12-19,-1.0318029,0.50577134,-1.0055654,-0.56251675,-1.2996354,1.633334
2013-12-20,0.9295338,0.8240453,0.41642413,0.936023,0.383083,-0.30869073
2013-12-23,-0.42954394,-0.41729197,-0.43892464,-0.3831298,0.2182468,0.2236063
2013-12-24,0.48496804,0.39821774,-0.0045163487,0.23363669,0.43862578,-0.16339548
2013-12-27,1.0208626,0.21037182,0.6648079,1.4505293,1.1634934,-0.67744046
2013-12-30,-0.8427996,-0.41676039,-0.9514429,-1.0104588,0.024165623,0.4635269
2013-12-31,-0.33284563,-0.81213325,-0.28580123,-0.36811626,-0.26371482,0.24350238
2014-01-02,0.6747134,-0.8937774,0.76886,-0.16467792,1.1327201,-1.960522
2014-01-03,0.26480478,-1.1229355,0.5829406,-0.197518,-0.95513225,-1.0600895
2014-01-06,0.23490976,0.14255959,0.018951915,-0.25848284,-0.6660994,-0.33159816
2014-01-07,-0.46696293,0.26571319,-0.61011314,-0.14194481,0.10806053,0.7350595
2014-01-08,-0.53814715,-0.7989942,-0.45998687,-0.37327024,0.4483502,0.19003311
2014-01-09,-0.28145024,-1.2233895,-0.0625414,-0.23337136,0.13348551,-0.28288445
2014-01-10,1.1355776,1.0581279,0.78969115,0.8026625,0.27465793,-1.0965734
2014-01-13,0.53622925,0.6644707,0.12662578,0.08696371,-0.098703206,-0.6763466
2014-01-14,-0.30850264,0.16922888,-0.15771753,-0.054515664,-0.2749975,0.13329709
2014-01-15,-0.42544052,0.48125473,-0.58230615,0.35475752,1.0735126,0.8006632
