date,F1,F2,F3,F4,F5
2013-10-21,-0.058617733,-0.6127262,0.16343603,-0.36871696,0.24393418
2013-10-22,-0.0008737821,-0.650195,0.09639712,0.12374271,0.89259416
2013-10-23,0.45205632,-0.7795414,0.021020379,-1.6560991,-0.24628519
2013-10-24,0.23229288,-0.8431782,-0.28644145,-0.516479,0.46733242
2013-10-25,-0.025368286,-1.4160298,-0.640584,-0.81978047,0.48400208
2013-10-28,-0.30378842,-1.1960734,-0.83231056,-0.31036752,0.38392013
2013-10-29,-0.015275622,-1.5917841,-0.55423856,-1.5208125,0.41624442
2013-10-30,-0.20201679,-1.4111378,-0.46899876,-1.1192669,0.81519157
2013-10-31,0.17303574,-2.0588272,-0.9648807,-1.8389823,-0.14321847
2013-11-01,0.075164124,-2.060409,0.018099312,-1.25984,0.1346084
2013-11-04,0.03672163,-1.461834,-0.2108032,-1.474483,0.056847546
2013-11-05,0.05363781,-1.7597083,-0.5250498,-1.310605,0.377558
2013-11-06,-0.109164126,-1.2876436,-0.3881769,-1.1814736,0.3946327
2013-11-07,0.07371181,-1.8620228,-0.40038368,-1.6310184,0.39924717
2013-11-08,-0.019964213,-1.999645,-1.0754905,-2.2116408,0.45634067
2013-11-11,-0.08390149,-1.60499,-0.6917064,-1.9690402,0.4140674
2013-11-12,0.15111622,-1.8728378,-0.6008183,-1.979551,0.37942362
2013-11-13,-0.14864798,-1.7059045,-0.6904266,-1.6888849,0.20533776
2013-11-14,-0.33582872,-1.1605738,-0.18629254,-1.0374982,0.37600565
2013-11-15,-0.11838631,-1.5249977,-0.5952525,-0.7335644,0.51587206
2013-11-18,-0.08053838,-1.8743845,-0.60600746,-1.4745728,0.02221624
2013-11-19,-0.20464028,-1.9411306,-0.34844664,-1.2726163,0.5961718
2013-11-20,0.0011623951,-1.801505,-0.96321875,-1.9076576,0.4087302
2013-11-21,-0.1361647,-1.7300526,-1.047396,-2.359035,0.690614
2013-11-22,-0.21039991,-1.8722851,-0.7616187,-1.6843626,0.70302737
2013-11-25,-0.041674554,-1.8359562,-0.46781608,-1.8096921,0.56728023
2013-11-26,-0.059843697,-1.5828328,-0.55495816,-1.4507474,0.40472534
2013-11-27,0.08853684,-1.6233708,-0.55990857,-1.6944441,0.17632069
2013-11-29,-0.081649415,-1.5447419,-0.3078112,-1.3702016,0.9130864
2013-12-02,0.03322222,-2.1290452,-1.2659947,-1.8387449,0.14664158
2013-12-03,-0.15081105,-1.5935472,-0.6264915,-1.7783631,0.350146
2013-12-04,-0.37262672,-1.4811269,-0.058726393,-0.8632606,1.1252887
2013-12-06,-0.13336705,-2.1245747,-1.0414121,-1.5387149,0.60578024
2013-12-09,0.0011895393,-1.9099615,-0.3933546,-1.446412,0.9606867
2013-12-10,-0.23468868,-1.1038852,-0.03693656,-0.7734349,0.8750887
2013-12-11,-0.14663444,-1.8712784,-0.7646734,-1.6461648,0.968256
