date,F1,F2,F3,F4,F5,F6,F7,F8
2013-10-21,0.19182952,0.39091533,0.32270274,0.33437982,0.61158204,-0.19848917,-0.14464419,0.28717038
2013-10-22,0.93656576,0.7843327,0.74328494,0.22660884,0.51186085,0.3540731,-0.80410093,-0.51966447
2013-10-23,0.17970614,-1.1790634,-0.50303644,-0.64608276,0.831703,-0.60559285,0.59415644,0.6661104
2013-10-24,0.16645484,0.086231776,0.67873394,0.45870534,0.98344386,0.29557064,-0.48430923,-0.44270048
2013-10-25,-0.3185885,0.26305023,0.023916816,0.25268948,0.12088065,0.11582433,0.12398863,-0.2637962
2013-10-28,-0.7911326,0.36268556,-0.26644993,0.15376613,0.23339607,0.4963562,-0.49457738,-1.6426091
2013-10-29,0.06597941,-0.5892837,-0.3411186,0.23428884,0.4922934,-0.44065404,0.12729673,0.21427976
2013-10-30,-0.18522443,0.14476807,0.9426057,0.3501188,-0.04890058,-0.004488739,-0.4645593,-0.24857841
2013-10-31,-0.37211445,-0.89425284,-1.5967139,-0.51182514,0.1733376,-0.49294448,1.0196079,-0.27667934
2013-11-01,0.42002636,-0.064914964,0.2745066,-1.0974116,0.114892654,0.13825083,0.47749177,-0.08452197
2013-11-04,-0.58146244,-0.07454844,-0.19331518,-0.48283246,0.4424391,-0.10150982,0.21497294,0.05957548
2013-11-05,-0.16732854,-0.16559134,-0.026170954,-0.12874924,0.20000662,-0.0969839,0.317241,-0.25015855
2013-11-06,-1.1031762,0.41899523,0.70452553,0.38635048,0.02323081,-0.21112557,0.2399058,0.048056822
2013-11-07,0.5206929,-0.5999623,-0.11779386,-0.5615842,0.068648495,-0.3116802,0.34907234,0.06267512
2013-11-08,-0.33662403,-0.68896234,-1.4785651,0.18267058,-0.19480276,-0.4225177,0.35159466,0.59258443
2013-11-11,-0.62737244,-0.45216393,-0.4982188,0.091734596,0.011421705,-0.40443608,-0.04683942,0.42373008
2013-11-12,-0.16722758,-0.5544725,-0.013733214,-0.15189531,-0.1754849,-0.6898769,0.8416222,0.3522051
2013-11-13,-1.1656712,-0.21899362,-0.57163566,0.005367505,0.0771793,-0.39985853,0.32548085,-0.07505185
2013-11-14,-0.6874415,0.92856455,0.60346645,0.18866006,0.40958065,-0.44711643,-0.54372305,-0.32876047
2013-11-15,-0.18817416,-0.07567556,0.56440204,-0.10780364,-0.072899416,-0.02048974,0.13277352,-1.5597672
2013-11-18,-0.7170644,-0.38046208,-0.6972445,-0.8271112,-0.14043534,-0.1505346,0.54938287,-0.3109772
2013-11-19,0.42598665,0.4894828,-0.048810977,0.18507409,0.2970672,-0.13686655,-0.12647961,0.18633005
2013-11-20,-0.5599834,-1.0537765,-0.6939204,-0.35509124,-0.38781452,-0.26899093,0.2194822,-0.17267433
2013-11-21,-0.45050117,-1.0136555,-0.73557884,0.1584624,-0.34984457,-0.7722038,-0.471037,0.45960292
2013-11-22,0.011675486,0.1052961,-0.38878706,0.84287614,-0.02663066,-0.07720676,0.4753859,0.6044613
2013-11-25,0.16439039,-0.20145856,0.14152649,-0.014041305,-0.34728846,-0.388581,0.67330545,0.34432402
2013-11-26,-0.62146485,-0.013737862,0.07841703,0.01822456,-0.14209943,-0.17009746,0.4291316,-0.21565935
2013-11-27,-0.11553051,-0.83650094,-0.54029626,-0.35544476,0.3387264,-0.2698711,0.3251593,-0.4065254
2013-11-29,0.4084347,0.29663414,1.1056149,0.4817561,-0.36194375,-0.21977425,0.0023565846,0.26196122
2013-12-02,-0.42446628,-1.1022488,-1.4542567,-0.33743826,-0.08331474,-0.1407449,0.59906816,-0.54418176
2013-12-03,-0.36325407,-0.34896612,-0.49126297,0.011335732,-0.2474209,-0.501734,0.17598544,-0.13743757
2013-12-04,0.28625977,1.1987067,1.4405004,0.85702693,0.25291055,0.23053925,-0.60313135,0.44883588
2013-12-06,-0.5429254,-0.35400435,-0.2836524,0.14912441,-0.44995266,-0.45671138,1.1059029,-0.17723803
2013-12-09,0.78985906,0.32334098,0.61370736,0.600328,0.040285304,-0.19207282,0.29049772,0.6840755
2013-12-10,0.002816753,0.92660344,1.672192,0.24365586,0.2132641,-0.14810815,-0.70774794,-0.2563197
2013-12-11,0.13432656,-0.0641833,0.22930528,0.62397933,-0.2772682,-0.43101048,0.40869218,0.3940746
2013-12-12,-0.25756904,-0.9055693,-1.1221731,-0.38184285,0.05278611,0.026042169,1.0403891,-0.94099206
2013-12-13,0.03802176,0.32635576,1.0170903,0.039090622,0.33448082,-0.09023108,-0.1748286,-0.7993581
2013-12-16,-0.53369355,-0.7518928,1.7517085,0.9056082,-0.024869883,-0.18171655,0.26145896,0.5368237
2013-12-18,-0.12508532,0.13051473,-1.0385815,-0.53887093,0.4291904,0.1931113,-0.15902813,-0.7127384
2013-12-19,-0.6475432,-1.1491715,-1.8620293,-0.2379013,-0.7849152,-0.6449572,0.9346943,0.21009235
2013-12-20,0.2053974,0.5833545,0.3048733,0.6405308,-0.12532401,-0.57881075,-0.6808524,0.1921701
2013-12-23,0.055310152,-0.5091743,-0.37523493,-0.06547262,0.6574511,-0.23154444,0.04365156,-0.7177024
2013-12-24,0.043471448,0.62581396,0.098927565,0.41897658,-0.11659203,-0.038541615,-0.0928936,0.020724026
2013-12-27,-0.17521308,1.4271574,1.1509844,0.65785074,-0.24383529,0.09199601,-0.65136,-0.3037723
2013-12-30,-0.4878466,-0.16120951,-0.6566246,-0.27195138,0.39856663,-0.30608484,0.8074771,-0.18106158
2013-12-31,-0.31997633,-0.11754288,-0.5676329,-0.58778054,0.11901964,-0.0986748,0.1965643,-0.10672136
2014-01-02,0.8002209,0.79994124,1.6101307,0.08647342,1.1047705,0.35515055,-0.51733136,-0.3502184
2014-01-03,0.7398893,-0.68682563,0.34500358,-0.724421,0.6134369,-0.6609658,-0.18198104,0.21250027
2014-01-06,0.30835173,0.3225919,-0.6122759,-0.14998667,-0.008096306,-0.4946811,-0.08259634,0.6581488
2014-01-07,-0.8869427,0.023037225,-0.09243621,0.6052077,-0.1454081,-0.40032232,0.90948707,0.13186666
2014-01-08,0.04891239,-0.34697545,-0.29308486,-0.5337548,0.5898456,0.12597777,-0.091729075,-0.9467914
2014-01-09,-0.4215773,-0.10284793,0.30194739,-0.3099838,0.7265003,-0.27956465,0.094758116,-0.092126876
2014-01-10,0.59062743,0.47814164,0.7424903,0.47398353,0.03283543,-0.068739116,-1.076646,0.6903918
2014-01-13,0.1921592,-0.4855263,0.8723806,0.99603933,0.04202807,0.22663239,0.4734741,0.38431245
2014-01-14,-0.070434675,-0.71867615,0.14605165,0.6589771,-0.047620565,-0.31497303,0.8613359,0.3393728
2014-01-15,-0.7587193,0.091556855,-0.16225676,0.6550405,0.15179873,0.06873443,0.027318237,-0.99864936
2014-01-16,0.38483,0.06236767,-0.1516542,-0.26523167,-0.53760725,-0.50588465,0.18724497,0.38631546
2014-01-17,-0.58336675,0.8911187,0.7541561,0.74487776,0.41650853,-0.015985355,-0.1662212,-0.21775483
2014-01-21,-0.42702237,-0.6082386,-0.21561624,0.1924617,-0.16044883,-0.55851823,0.7951867,-0.73570025
2014-01-22,-0.46827766,-0.6095025,-0.5013085,0.43330276,-0.074877076,0.016178602,0.3149325,-0.20952204
2014-01-23,-0.55223936,-0.27072287,0.74826115,-0.42783657,0.07349457,-0.38306534,-0.17068888,0.47381052
2014-01-24,-0.8858807,-0.742419,-0.09802302,-0.3581826,-0.35099658,0.1690752,0.5246742,0.42001608
2014-01-27,0.15210049,-0.04535764,-0.24484733,-0.15579168,1.6305727,-0.43032056,-0.38167328,-0.16848896
2014-01-28,-0.62726474,-0.6782448,-0.39916545,-0.30636927,-0.739509,-0.5075909,0.38739222,0.034592535
2014-01-29,-1.1091602,-0.21540742,0.96203244,0.24103579,-0.18738802,0.41975793,0.40489182,-0.38612992
2014-02-10,1.3164791,-0.57615143,0.36129278,-0.3306502,-0.7913217,-2.0906549,-0.821048,1.7191422
2014-02-11,-0.53479177,-0.06420296,0.81039983,0.5733705,-0.06669419,-0.27527404,0.30660203,0.40148723
2014-02-12,0.32033652,0.48813584,0.9974449,0.020780303,-0.30429563,-0.28207818,-0.52829945,-0.6690622
2014-02-13,-0.30744746,-0.47043574,0.30848566,0.7142661,0.20906359,-0.32708645,0.22034478,1.0775074
2014-02-14,-0.023004057,0.89595824,1.0332074,0.23403947,0.15164417,0.24556649,-0.8874545,-0.01290996
2014-02-18,0.5232812,-0.68413997,0.33209127,-0.013448272,-1.1804342,0.018065086,-0.78211445,1.1032395
2014-02-19,0.124591045,-1.0042856,0.3702985,-0.8170465,-0.9786729,-0.77655447,-0.20124717,-0.30795917
2014-02-20,-0.4430984,-0.44767803,-0.49453497,0.098582506,0.48065582,-0.37729114,-0.01375673,0.33658385
2014-02-21,0.04392232,0.17651944,0.9947258,-0.18604831,-0.3541,-0.038965695,0.15491092,0.34572506
2014-02-24,0.17705876,0.87706053,0.40199667,-0.47730914,-0.26414943,-0.9732501,-0.7697801,0.3270936
2014-02-25,0.5075589,0.11810444,-0.5477656,-0.0016532816,0.96497804,-0.27744326,-0.53013414,0.586544
2014-02-26,-0.45761597,-0.12759739,-1.2712215,0.56962526,0.7339522,-0.4864278,0.13722134,0.8376451
2014-02-27,0.17575584,0.7514111,0.5786966,-0.08591796,0.25824526,0.21108541,-0.0739954,-0.82224065
2014-02-28,0.61627686,-1.4583775,-0.66780776,0.8685834,0.51164997,-0.26364556,0.20003943,0.5009516
